卖家,卖家类型,配件名称,类别,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,推荐搭配,考据置信度,考据备注
龙牌,小工作室,巴布特盔 #2,头盔,MEDIEVAL 11｜BARBUTE HELMET #2,巴布特盔,意大利,1450-1500,佣兵；步战,意大利板甲、布面甲、长矛/弩,高,
龙牌,小工作室,巴布特盔 #3,头盔,MEDIEVAL 12｜BARBUTE HELMET #3,巴布特盔,意大利,1450-1500,佣兵；步战,意大利板甲、布面甲、长矛/弩,高,开放面版本。
龙牌,小工作室,鳞甲盔,头盔,MEDIEVAL 13｜SCALE HELM,鳞片护头,欧亚多地区,1100-1500,鳞甲；混合型,札甲/鳞甲身体、圆盾,低,更像通用鳞片护头概念件，不宜精确指向单一文化。
龙牌,小工作室,新锁甲盔,头盔,MEDIEVAL 14｜NEW CHAINMAIL,锁甲兜帽,西欧,1100-1350,十字军；锁甲；诺曼后期,锁甲衫、巨盔可叠戴、罩袍,高,
龙牌,小工作室,鳞甲锅盔,头盔,MEDIEVAL 15｜KETTLE HELM(SCALE),锅盔＋鳞片护颈,欧洲,1300-1500,锅盔；鳞片护颈；步兵,步兵甲、长柄武器、弩,中,组合方式更偏造型化。
龙牌,小工作室,锅盔1,头盔,MEDIEVAL 16｜KETTLE HELM #1,锅盔,西欧—中欧,1250-1500,锅盔；步兵；民兵,锁甲、布面甲、长矛/弩,高,通用度极高。
龙牌,小工作室,锅盔2,头盔,MEDIEVAL 17｜KETTLE HELM #2,锅盔,西欧—中欧,1250-1500,锅盔；步兵；民兵,锁甲、布面甲、长矛/弩,高,通用度极高。
龙牌,小工作室,锅盔3,头盔,MEDIEVAL 18｜KETTLE HELM #3,锅盔,西欧—中欧,1250-1500,锅盔；步兵；民兵,锁甲、布面甲、长矛/弩,高,通用度极高。
龙牌,小工作室,维京盔1,头盔,MEDIEVAL 19｜VIKING HELM #1,Gjermundbu-type 眼镜盔,斯堪的纳维亚,0900-1050,眼镜盔,锁甲、圆盾、斧/矛,高,
龙牌,小工作室,维京盔2,头盔,MEDIEVAL 20｜VIKING HELM #2,Gjermundbu-type 眼镜盔＋锁甲,斯堪的纳维亚,0900-1050,眼镜盔,锁甲、圆盾、斧/矛,高,更重装的诺斯精英。
龙牌,小工作室,夏尔盔,头盔,MEDIEVAL 21｜SALLET,萨莱特盔,德意志—中欧,1450-1510,高哥特式；萨莱特盔,哥特式板甲、护颏、poleaxe,高,
龙牌,小工作室,英式封闭盔,头盔,MEDIEVAL 22｜ENGLISH CLOSE HELM,封闭盔,英格兰—西欧,1510-1550,封闭盔,早期格林尼治/文艺复兴板甲,高,已进入16世纪早期。
龙牌,小工作室,平顶盔,头盔,MEDIEVAL 23｜FLAT TOP HELMET,平顶巨盔,西欧,1200-1300,十字军；早期大盔,锁甲、罩袍、骑枪,中,
龙牌,小工作室,T型鼻盔,头盔,MEDIEVAL 24｜T NASAL HELMET,T形鼻护盔,北欧—东欧,0950-1150,鼻护,锁甲、圆盾、长矛,中,可作为罗斯/北欧混合搭配件。
龙牌,小工作室,波兰盔,头盔,MEDIEVAL 25｜POLISH HELMET,Szyszak-type 头盔,波兰—匈牙利,1550-1650,翼骑兵,翼骑兵胸甲、长骑枪、马刀,中,经典翼骑兵时代已非中世纪。
龙牌,小工作室,斯波莱托面具,头盔,MEDIEVAL 26｜SPOLETO MASK,Spoleto-style 面具盔部件,意大利中部—伦巴第—拜占庭边界,0500-0700,面具,分片盔、鳞甲/锁甲,低,年代与具体原型建议后续再核对。
龙牌,小工作室,衬盔,头盔附件,MEDIEVAL 27｜PADDED HELMET LINER,头盔内衬,欧洲,1000-1500,内衬；软甲；通用,几乎所有重型头盔内搭,高,功能件，适配范围很广。
龙牌,小工作室,猪盆盔2.0#1,头盔,MEDIEVAL 28｜BASCINET 2.0 #1,盆盔变体,西欧—中欧,1330-1420,盆盔,过渡板甲、锁甲护颈,高,
龙牌,小工作室,猪盆盔2.0#2,头盔,MEDIEVAL 29｜BASCINET 2.0 #2,盆盔变体,西欧—中欧,1330-1420,盆盔,过渡板甲、锁甲护颈,高,
龙牌,小工作室,猪盆盔2.0,头盔,MEDIEVAL 30｜BASCINET 2.0,盆盔变体,西欧—中欧,1330-1420,盆盔,过渡板甲、锁甲护颈,中,目录编号后缀在图片中较不清。
龙牌,小工作室,猪盆盔3.0#1,头盔,MEDIEVAL 31｜BASCINET 3.0 #1,盆盔变体,西欧—中欧,1330-1420,盆盔,过渡板甲、锁甲护颈,高,
龙牌,小工作室,猪盆盔3.0#2,头盔,MEDIEVAL 32｜BASCINET 3.0 #2,盆盔变体,西欧—中欧,1330-1420,盆盔,过渡板甲、锁甲护颈,高,
龙牌,小工作室,猪盆盔3.0,头盔,MEDIEVAL 33｜BASCINET 3.0,盆盔变体,西欧—中欧,1330-1420,盆盔,过渡板甲、锁甲护颈,中,目录后缀在图片中较不清。
龙牌,小工作室,猪盆盔3.0#4,头盔,MEDIEVAL 34｜BASCINET 3.0 #4,盆盔变体,西欧—中欧,1330-1420,盆盔,过渡板甲、锁甲护颈,高,
龙牌,小工作室,猪盆盔,头盔,MEDIEVAL 35｜KLAPPVISOR,Klappvisor 盆盔,德意志—中欧,1350-1420,Klappvisor,过渡板甲、锁甲护颈,高,
龙牌,小工作室,巨大盔,头盔,MEDIEVAL 36｜GRAND BASCINET,大盆盔,西欧,1400-1450,大盆盔,步战/比赛过渡甲、重板甲,高,
龙牌,小工作室,锅盔2.0#1,头盔,MEDIEVAL 37｜KETTLE HELM 2.0 #1,锅盔变体,欧洲,1300-1500,锅盔；步兵,布面甲、锁甲、长柄武器,高,
龙牌,小工作室,锅盔2.0#2,头盔,MEDIEVAL 38｜KETTLE HELM 2.0 #2,锅盔变体,欧洲,1300-1500,锅盔；步兵,布面甲、锁甲、长柄武器,高,
龙牌,小工作室,锅盔2.0#3,头盔,MEDIEVAL 39｜KETTLE HELM 2.0 #3,锅盔变体,欧洲,1300-1500,锅盔；步兵,布面甲、锁甲、长柄武器,高,
龙牌,小工作室,中世纪头盔#1,头盔,MEDIEVAL 40｜MEDIEVAL HELM #1,锁甲兜帽,西欧,1100-1300,十字军；锁甲；步兵,锁甲衫、罩袍,中,
龙牌,小工作室,中世纪头盔#2,头盔,MEDIEVAL 41｜MEDIEVAL HELM #2,早期锥盔／圆盔＋锁甲,西欧—北欧,1000-1200,锁甲；鼻护,锁甲、圆盾/筝形盾,中,
龙牌,小工作室,中世纪头盔#3,头盔,MEDIEVAL 42｜MEDIEVAL HELM #3,战帽变体,西欧—中欧,1400-1500,战帽；步兵,布面甲、长柄武器,低,造型较特别，暂作战帽类。
龙牌,小工作室,桶盔2.0#1,头盔,MEDIEVAL 43｜GREAT HELM 2.0 #1,巨盔变体,西欧,1250-1350,十字军；巨盔,锁甲、罩袍、骑枪,高,
龙牌,小工作室,桶盔2.0#2,头盔,MEDIEVAL 44｜GREAT HELM 2.0 #2,巨盔变体,西欧,1250-1350,十字军；巨盔,锁甲、罩袍、骑枪,高,
龙牌,小工作室,十字军头盔1.0#1,头盔,MEDIEVAL 45｜CRUSADER HELM 1.0 #1,十字军风格头盔,西欧—十字军国家,1180-1300,十字军；锁甲,锁甲、罩袍、盾,中,有一定艺术化。
龙牌,小工作室,十字军头盔1.0#2,头盔,MEDIEVAL 46｜CRUSADER HELM 1.0 #2,十字军风格头盔,西欧—十字军国家,1180-1300,十字军；锁甲,锁甲、罩袍、盾,中,
龙牌,小工作室,十字军头盔1.0#3,头盔,MEDIEVAL 47｜CRUSADER HELM 1.0 #3,十字军风格头盔,西欧—十字军国家,1180-1300,十字军；锁甲,锁甲、罩袍、盾,中,
龙牌,小工作室,十字军头盔1.0#4,头盔,MEDIEVAL 48｜CRUSADER HELM 1.0 #4,十字军风格头盔,西欧—十字军国家,1180-1300,十字军；锁甲,锁甲、罩袍、盾,中,
龙牌,小工作室,十字军头盔2.0#1,头盔,MEDIEVAL 49｜CRUSADER HELM 2.0 #1,十字军风格头盔,西欧—十字军国家,1200-1350,十字军；巨盔,锁甲、罩袍、盾,中,
龙牌,小工作室,十字军头盔2.0#2,头盔,MEDIEVAL 50｜CRUSADER HELM 2.0 #2,十字军风格头盔,西欧—十字军国家,1200-1350,十字军；巨盔,锁甲、罩袍、盾,中,
龙牌,小工作室,十字军头盔2.0#3,头盔,MEDIEVAL 51｜CRUSADER HELM 2.0 #3,十字军风格头盔,西欧—十字军国家,1200-1350,十字军；巨盔,锁甲、罩袍、盾,中,
龙牌,小工作室,十字军头盔2.0#4,头盔,MEDIEVAL 52｜CRUSADER HELM 2.0 #4,十字军风格头盔,西欧—十字军国家,1200-1350,十字军；巨盔,锁甲、罩袍、盾,中,
龙牌,小工作室,穆斯林头盔1,头盔,THE MIDDLE EAST 01｜MUSLIM HELM #1,西亚穹顶盔,西亚—伊朗—叙利亚—埃及,1200-1500,穆斯林；混合型,锁甲、圆盾、长矛/复合弓,中,轮廓混合，宜作为泛西亚重骑兵用。
龙牌,小工作室,穆斯林头盔2,头盔,THE MIDDLE EAST 02｜MUSLIM HELM #2,西亚穹顶盔,西亚—伊朗—叙利亚—埃及,1200-1500,穆斯林；混合型,锁甲、圆盾、长矛/复合弓,中,轮廓混合，宜作为泛西亚重骑兵用。
龙牌,小工作室,穆斯林头盔3,头盔,THE MIDDLE EAST 03｜MUSLIM HELM #3,锥形／分片式头盔＋护颈,西亚—伊朗—叙利亚—埃及,1100-1400,穆斯林；混合型,锁甲、圆盾、长矛/复合弓,中,可搭阿尤布、早期马穆鲁克或波斯风。
龙牌,小工作室,穆斯林头盔4,头盔,THE MIDDLE EAST 04｜MUSLIM HELM #4,锥形盔＋锁甲护颈,西亚—伊朗—叙利亚—埃及,1100-1400,穆斯林；混合型,锁甲、圆盾、长矛/复合弓,中,可搭阿尤布、早期马穆鲁克或波斯风。
龙牌,小工作室,库曼头盔1,头盔,THE CUMAN 01｜COMAN HELMET #1,库曼—钦察精英面具盔,黑海—里海草原（库曼、钦察）,1100-1300,骑兵,库曼甲、复合弓、长枪、小圆盾,中,适合贵族/精英，面具盔不宜全军普及。
龙牌,小工作室,库曼头盔2,头盔,THE CUMAN 02｜COMAN HELMET #2,库曼—钦察锥形草原盔,黑海—里海草原（库曼、钦察）,1100-1300,骑兵,库曼甲、复合弓、长枪、小圆盾,高,可搭锁甲/札甲、复合弓、长枪。
龙牌,小工作室,库曼头盔3,头盔,THE CUMAN 03｜COMAN HELMET #3,库曼—钦察锥形草原盔,黑海—里海草原（库曼、钦察）,1100-1300,骑兵,库曼甲、复合弓、长枪、小圆盾；亦可用于晚期东罗马—巴尔干混合形象,高,同模也出现在龙牌东罗马套装；按草原—东欧—巴尔干接触圈的跨文化件理解，不另建重复条目。
龙牌,小工作室,库曼头盔4,头盔,THE CUMAN 04｜COMAN HELMET #4,库曼—钦察锥形草原盔,黑海—里海草原（库曼、钦察）,1100-1300,骑兵,库曼甲、复合弓、长枪、小圆盾,高,可搭锁甲/札甲、复合弓、长枪。
龙牌,小工作室,库曼头盔5,头盔,THE CUMAN 05｜COMAN HELMET #5,库曼—钦察锥形草原盔,黑海—里海草原（库曼、钦察）,1100-1300,骑兵,库曼甲、复合弓、长枪、小圆盾,高,可搭锁甲/札甲、复合弓、长枪。
龙牌,小工作室,板甲&甲裙,甲身,ARMOR 04｜PLATE ARMOR & ARMOR SKIRT,过渡型板甲胸身＋甲裙,西欧—中欧,1350-1450,过渡板甲,盆盔/Grand 盆盔,中,适合填补14世纪末到15世纪初身体防具断层；新实拍确认同一商品含光面/铆钉分片胸甲及锁甲裙/板甲裙，并有不同金属色版本，颜色不另建条目。
龙牌,小工作室,黑鹰甲,甲身,ARMOR 05｜BLACK FALCON ARMOR,幻想城堡风板甲,幻想—积木城堡,0000-0000,城堡；幻想,奇幻骑士,,商品本身明显偏积木城堡/幻想审美。
龙牌,小工作室,板甲罩衣,甲身,ARMOR 06｜PLATE ARMOR WITH TABARD,板甲＋罩衣,西欧,1400-1500,板甲；罩衣；纹章,萨莱特盔/武装盔/各式15世纪盔,中,具体甲型较泛化。
龙牌,小工作室,链甲带肩甲,甲身,ARMOR 07｜CHAIN MAIL ARMOR AND SPAULDER,锁甲＋肩部加强,西欧,1100-1400,十字军；锁甲；早期骑士,巨盔/盆盔/诺曼盔,中,通用度很高。
龙牌,小工作室,金属护颈#2,颈部防具,ARMOR 08｜AVENTAIL #2,锁甲护颈,西欧—中欧,1300-1430,锁甲护颈；盆盔,盆盔、犬嘴盆盔,高,盆盔系统关键件。
龙牌,小工作室,锁甲护颈1.0,颈部防具,ARMOR 09｜NECK ARMOR 1.0,锁甲颈圈,欧洲,1300-1500,锁甲；护颈,盆盔/开放盔,中,
龙牌,小工作室,库曼甲,甲身,ARMOR 10｜COMAN ARMOR,库曼—钦察札甲—锁甲混合甲,黑海—里海草原,1100-1300,札甲,THE CUMAN 01–05、复合弓、长枪,中高,
龙牌,小工作室,盔甲脖套2.0 #1,颈部防具,ARMOR 11｜NECK ARMOR 2.0 #1,锁甲颈圈,欧洲,1300-1500,锁甲；颈甲,盆盔/开放盔,中,
龙牌,小工作室,盔甲脖套2.0 #2,颈部防具,ARMOR 12｜NECK ARMOR 2.0 #2,鳞片／札片颈圈（混合型）,欧亚多地区,1200-1500,鳞甲；混合型,草原/拜占庭/西亚借件,低,不宜强行定为单一文化。
龙牌,小工作室,盔甲脖套2.0 #3,颈部防具,ARMOR 13｜NECK ARMOR 2.0 #3,装饰性软领/围领,欧洲,1500-1700,装饰,近世人仔/礼仪化造型,低,看起来更像装饰领而非实战甲件。
龙牌,小工作室,盔甲脖套2.0 #4,颈部防具,ARMOR 14｜NECK ARMOR 2.0 #4,锁甲颈圈＋圆护片,西欧—中欧,1400-1500,锁甲；圆护片；板甲,15世纪板甲,中高,
龙牌,小工作室,盔甲脖套2.0 #5,颈部防具,ARMOR 15｜NECK ARMOR 2.0 #5,锁甲颈圈,欧洲,1300-1500,锁甲；颈甲,盆盔/开放盔,中,
龙牌,小工作室,盔甲脖套2.0 #6,颈部防具,ARMOR 16｜NECK ARMOR 2.0 #6,锁甲颈圈＋小肩板,西欧—中欧,1400-1530,锁甲；肩板；板甲,15世纪板甲,中,
龙牌,小工作室,罩袍皮带,服装/附件,ARMOR 17｜SURCOAT & BELT,罩袍＋腰带,西欧,1150-1400,十字军；罩袍；纹章,锁甲、巨盔、盆盔早期,高,目录有20+纹章样式。
龙牌,小工作室,肩甲2.0,肩甲,ARMOR 18｜SHOULDER ARMOR 2.0,肩甲,西欧—中欧,1400-1530,板甲；肩甲,15世纪板甲、过渡甲,中,目录显示4种样式。
龙牌,小工作室,手臂甲1.0,臂甲,ARMOR 19｜ARM ARMOR 1.0,板质臂甲,西欧—中欧,1400-1530,板甲；臂甲,15世纪板甲、poleaxe,高,
龙牌,小工作室,短武器1,武器,WEAPON 01/1｜SHORT WEAPON 1,战锤,西欧—中欧,1300-1600,战锤；近战,板甲骑士/步战,中,
龙牌,小工作室,短武器2,武器,WEAPON 01/2｜SHORT WEAPON 2,Falchion 类弯刃短刀,西欧,1200-1500,弯刃；步兵,十字军/中世纪步兵,中,
龙牌,小工作室,短武器3,武器,WEAPON 01/3｜SHORT WEAPON 3,Messer／Falchion 类单刃短刀,中欧—西欧,1300-1530,单刃；Messer,德意志步兵/佣兵,中,
龙牌,小工作室,短武器2.0-1,武器,WEAPON 02/1｜SHORT WEAPON 2.0 1,弯刀／马刀类,东欧—西亚,1300-1700,马刀,库曼/匈牙利/西亚骑兵,中,
龙牌,小工作室,短武器2.0-2,武器,WEAPON 02/2｜SHORT WEAPON 2.0 2,钉头锤,欧洲,1200-1600,钉头锤；骑兵,骑士/重步兵,中,
龙牌,小工作室,短武器2.0-3,武器,WEAPON 02/3｜SHORT WEAPON 2.0 3,链枷式武器,欧洲,1300-1600,链枷,奇幻/晚中世纪造型,低,历史实战普及度常被流行文化夸大。
龙牌,小工作室,短武器2.0-4,武器,WEAPON 02/4｜SHORT WEAPON 2.0 4,短柄战锤／bec de corbin 式武器,西欧—中欧,1400-1600,战锤；板甲时代,板甲骑士,中高,
龙牌,小工作室,长剑1,武器,WEAPON 03/1｜LONG SWORD 1,长剑,西欧—中欧,1300-1600,长剑；骑士,盆盔/哥特式/马克西米利安式,高,
龙牌,小工作室,长剑2,武器,WEAPON 03/2｜LONG SWORD 2,长剑,西欧—中欧,1300-1600,长剑；骑士,盆盔/哥特式/马克西米利安式,高,
龙牌,小工作室,长剑3,武器,WEAPON 03/3｜LONG SWORD 3,长剑,西欧—中欧,1300-1600,长剑；骑士,盆盔/哥特式/马克西米利安式,高,
龙牌,小工作室,长柄斧/戟1,武器,WEAPON 04/1｜POLEAXE & HALBERD 1,Poleaxe,西欧—中欧,1400-1530,poleaxe；板甲；步战,哥特式/米兰式,高,
龙牌,小工作室,长柄斧/戟2,武器,WEAPON 04/2｜POLEAXE & HALBERD 2,Poleaxe,西欧—中欧,1400-1530,poleaxe；板甲；步战,哥特式/米兰式,高,
龙牌,小工作室,长柄斧/戟3,武器,WEAPON 04/3｜POLEAXE & HALBERD 3,戟,德意志—瑞士,1400-1600,戟；步兵,中欧步兵/佣兵,高,
龙牌,小工作室,长柄斧/戟4,武器,WEAPON 04/4｜POLEAXE & HALBERD 4,戟,德意志—瑞士,1400-1600,戟；步兵,中欧步兵/佣兵,高,
龙牌,小工作室,长柄武器1,武器,WEAPON 05/1｜POLEARM 1,长矛,欧亚广泛,0900-1600,长矛；通用,几乎所有步骑兵文化,高,
龙牌,小工作室,长柄武器2,武器,WEAPON 05/2｜POLEARM 2,长矛,欧亚广泛,0900-1600,长矛；通用,几乎所有步骑兵文化,高,
龙牌,小工作室,长柄武器3,武器,WEAPON 05/3｜POLEARM 3,Voulge／Partisan 类长柄武器,西欧,1300-1600,长柄；步兵,15世纪步兵,中,
龙牌,小工作室,长柄武器4,武器,WEAPON 05/4｜POLEARM 4,戟类长柄武器,中欧,1400-1600,戟；步兵,15世纪中欧步兵,中,
龙牌,小工作室,长柄武器2.0-1,武器,WEAPON 06/1｜POLEARM 2.0 1,长矛,欧亚广泛,0900-1600,长矛；通用,几乎所有文化,高,
龙牌,小工作室,长柄武器2.0-2,武器,WEAPON 06/2｜POLEARM 2.0 2,长矛,欧亚广泛,0900-1600,长矛；通用,几乎所有文化,高,
龙牌,小工作室,长柄武器2.0-3,武器,WEAPON 06/3｜POLEARM 2.0 3,长矛,欧亚广泛,0900-1600,长矛；通用,几乎所有文化,高,
龙牌,小工作室,长柄武器2.0-4,武器,WEAPON 06/4｜POLEARM 2.0 4,长柄刃兵,欧洲,1300-1600,长柄；步兵,晚中世纪步兵,中,
龙牌,小工作室,中世纪骑枪1,武器,WEAPON 07/1｜MEDIEVAL LANCE,骑枪,西欧,1200-1600,骑枪；重骑兵；比赛,十字军、米兰式、哥特式骑士,高,彩纹款更偏15–16世纪比赛/礼仪视觉。
龙牌,小工作室,中世纪骑枪2,武器,WEAPON 07/2｜MEDIEVAL LANCE,骑枪,西欧,1200-1600,骑枪；重骑兵；比赛,十字军、米兰式、哥特式骑士,高,彩纹款更偏15–16世纪比赛/礼仪视觉。
龙牌,小工作室,中世纪骑枪3,武器,WEAPON 07/3｜MEDIEVAL LANCE,骑枪,西欧,1200-1600,骑枪；重骑兵；比赛,十字军、米兰式、哥特式骑士,高,彩纹款更偏15–16世纪比赛/礼仪视觉。
龙牌,小工作室,中世纪骑枪4,武器,WEAPON 07/4｜MEDIEVAL LANCE,骑枪,西欧,1200-1600,骑枪；重骑兵；比赛,十字军、米兰式、哥特式骑士,高,彩纹款更偏15–16世纪比赛/礼仪视觉。
龙牌,小工作室,洛汗剑1,武器,WEAPON 08/1｜ROHAN SWORD,幻想风长剑,幻想—托尔金式,0000-0000,Rohan；幻想,奇幻人仔,低,明显为幻想题材。
龙牌,小工作室,洛汗剑2,武器,WEAPON 08/2｜ROHAN SWORD,幻想风长剑,幻想—托尔金式,0000-0000,Rohan；幻想,奇幻人仔,低,明显为幻想题材。
龙牌,小工作室,弯刀1,武器,WEAPON 09/1｜FALCHION SWORD,Falchion,西欧,1200-1500,Falchion；单刃,十字军/中世纪步兵,高,
龙牌,小工作室,弯刀2,武器,WEAPON 09/2｜FALCHION SWORD,Falchion,西欧,1200-1500,Falchion；单刃,十字军/中世纪步兵,高,
龙牌,小工作室,双刃斧1,武器,WEAPON 10/1｜DOUBLE HEADED BATTLE AXE,幻想双刃战斧,幻想—泛中世纪,0000-0000,双刃斧；幻想,奇幻/城堡人仔,低,对称双刃战斧在流行文化中远比历史实战常见。
龙牌,小工作室,双刃斧2,武器,WEAPON 10/2｜DOUBLE HEADED BATTLE AXE,幻想双刃战斧,幻想—泛中世纪,0000-0000,双刃斧；幻想,奇幻/城堡人仔,低,对称双刃战斧在流行文化中远比历史实战常见。
龙牌,小工作室,长柄斧5-1,武器,WEAPON 11/1｜POLEAXE 5,Poleaxe,西欧—中欧,1400-1530,poleaxe；步战,米兰式/哥特式板甲,高,
龙牌,小工作室,长柄斧5-2,武器,WEAPON 11/2｜POLEAXE 5,Poleaxe,西欧—中欧,1400-1530,poleaxe；步战,米兰式/哥特式板甲,高,
龙牌,小工作室,帕维斯盾,盾牌,SHIELD 01｜PAVISE SHIELD,帕维斯盾,中欧—意大利,1300-1500,帕维斯；弩手；步兵,弩手、城市民兵、长枪步兵,高,
龙牌,小工作室,圆盾,盾牌,SHIELD 02｜ROUND SHIELD,圆盾,北欧—东欧—欧亚广泛,0800-1300,圆盾,维京、罗斯、库曼、早期步兵,高,
打铁的尼古拉,小工作室,巨盔（带头巾及翼狮盔饰）,头盔,巨盔（带头巾及翼狮盔饰）,纹章化巨盔,西欧—中欧,1300-1500,巨盔；盔饰；比赛；仪典；纹章,锁甲、coat-of-plates/早期板甲、纹章盾,中高,巨盔本体源自约1250–1400；本件布幔、头巾和巨大翼狮盔饰更适合14–15世纪比赛、仪典或纹章展示语境。
打铁的尼古拉,小工作室,夏雷尔盔（左款）,头盔,夏雷尔盔,萨莱特盔,德意志—中欧,1450-1510,晚期哥特式；萨莱特盔；羽饰,高哥特式板甲、护颏、poleaxe/骑枪,高,“夏雷尔”可理解为德语萨莱特盔的音译；羽饰属艺术化附件，基础盔型方向明确。
打铁的尼古拉,小工作室,夏雷尔盔（右款）,头盔,夏雷尔盔,萨莱特盔,德意志—中欧,1450-1510,晚期哥特式；萨莱特盔；羽饰,高哥特式/约1500过渡板甲,高,同属萨莱特盔造型族；羽饰和局部轮廓按商品化变体处理。
打铁的尼古拉,小工作室,勃艮第壶盔,头盔,勃艮第壶盔,法—勃艮第式战帽,勃艮第—佛兰德—法国北部,1450-1500,法—勃艮第式；战帽；Chapel-de-fer,法—勃艮第板甲、布面甲、华丽罩袍/侍从装备,高,宽檐战帽/壶盔语言与15世纪法—勃艮第视觉资料相符。
打铁的尼古拉,小工作室,翻盖盔,头盔,翻盖盔,早期封闭盔,德意志南部—奥地利—北意大利,1505-1530,早期封闭盔；武装盔；过渡,Schott–Sonnenberg过渡甲、早期马克西米利安式、16世纪初板甲,中高,卖家“翻盖盔”为描述性商品名；结构更接近16世纪初早期封闭盔，不应按14世纪 Klappvisier 盆盔 记录。
打铁的尼古拉,小工作室,焰形大剑,武器,焰形大剑,Flamberge-style Zweihänder,德意志—中欧,1550-1600,Zweihänder；Flamberge；双手剑；国土佣仆；Doppelsöldner,国土佣仆、Doppelsöldner、16世纪德意志/中欧步兵,高,“焰形刃”并非国土佣仆专属；16世纪后半部分实物也兼具卫队/仪仗属性。
打铁的尼古拉,小工作室,凹槽胸甲（含腹甲/甲裙）,甲身,凹槽胸甲,Knechtsharnisch,南德—奥地利,1510-1530,Knechtsharnisch；马克西米利安式；国土佣仆；凹槽,Barett＋Hirnhaube、德式臂甲；长柄武器或早期16世纪剑,高,密集纵向凹槽与圆鼓轮廓符合马克西米利安时代德式甲胄语言；更适合放在 国土佣仆/Knechtsharnisch 语境下理解。
打铁的尼古拉,小工作室,普通灰色臂甲,臂甲,臂甲,16世纪初德式臂甲,德意志—中欧,1510-1530,臂甲,凹槽胸甲、Hirnhaube/早期16世纪头盔,中高,相较膨袖式臂甲更朴素、通用，可用于16世纪初德式板甲或富裕步战角色。
打铁的尼古拉,小工作室,红白膨袖式臂甲,臂甲,臂甲,仿膨袖开缝服饰式臂甲,奥格斯堡等南德甲胄中心,1520-1530,puff-and-slash；costume armour；国土佣仆；膨袖；开缝,Knechtsharnisch、Barett＋Hirnhaube；高级军官/贵族/展示性角色,高,以钢板模仿 国土佣仆 膨袖与开缝服饰的特色甲件；更适合少数高级或展示性人物，不宜全队复制。
打铁的尼古拉,小工作室,大帽＋内层钢盔,头盔,大帽＋内层钢盔,Barett＋Hirnhaube,德意志—中欧,1510-1530,Barett；Hirnhaube；国土佣仆；头盖盔,凹槽胸甲、普通/膨袖式臂甲；长柄武器、双手剑,中高,Barett＋Hirnhaube 的大方向历史依据较强；本件分节侧后防护与长护颊的具体复原结构较特殊，故不把具体细节判为高置信度。
粤睿智达,量产品牌,尖顶开放盔,头盔,N335/N336 套装拆件,开放式盆盔,西欧,1350-1420,盆盔；开放式,锁甲护颈、coat-of-plates/过渡板甲、14世纪骑士/侍从,中高,来自 N335/N336；整套主题不同，但该头盔可作为14世纪西欧通用开放式盆盔使用。
