卖家,卖家类型,套装名称,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,套装内容,适合表现,考据置信度,搭配/替换建议,考据备注,参考价格（元）
VE,量产品牌,斧兵,VE0139｜民兵,分片式鼻护盔＋锁甲盛期中世纪装备组合,西欧—中欧,1000-1250,分片盔；鼻护盔；锁甲；民兵,分片式鼻护盔＋锁甲护颈、布衣身体、斧,11–13世纪民兵、扈从、普通战士,中高,可加圆盾/筝形盾；若做较富裕战士可换锁甲身体,,
VE,量产品牌,重装斧兵,VE0140｜民兵,锥形鼻护盔＋锁甲盛期中世纪装备组合,西欧—中欧,1050-1250,鼻护盔；锁甲；民兵,锥形鼻护盔＋锁甲护颈、厚布衣/皮甲风身体、斧,11–13世纪民兵、扈从、普通战士,中高,加圆盾/筝形盾即可形成很实用的早期中世纪组合,属于低价套装里历史味道较自然的一款。,
VE,量产品牌,剑盾兵,VE0141｜士兵,分片式鼻护盔＋锁甲盛期中世纪装备组合,西欧—中欧,1000-1250,分片盔；鼻护盔；锁甲；步兵,分片式鼻护盔＋锁甲护颈、布衣身体、剑、盾,11–13世纪步兵/扈从,中高,盾牌纹章可按阵营替换；其余基本可直接使用,,
VE,量产品牌,持剑民兵,VE0142｜民兵,分片式鼻护盔＋锁甲盛期中世纪装备组合,西欧—中欧,1000-1250,分片盔；鼻护盔；锁甲；民兵,分片式鼻护盔＋锁甲护颈、朴素布衣、剑,11–13世纪普通武装人员,中高,可加盾或长矛；适合与VE0139/0141混编,,
VE,量产品牌,持盾长矛兵,VE0143｜战士,锅盔＋颈防＋长矛晚期中世纪装备组合,西欧—中欧,1350-1500,锅盔；长矛；盾；步兵,锅盔＋颈防、厚布/布甲身体、长矛、盾,14–15世纪长矛兵、民兵、佣兵,中高,可与VE0138/0145混编；盾牌按地域替换,,
VE,量产品牌,长矛兵,VE0145｜枪兵,锅盔＋颈防＋长矛晚期中世纪装备组合,西欧—中欧,1350-1500,锅盔；长矛兵；步兵,锅盔＋颈防、厚布衣、长矛,14–15世纪长矛兵、城市民兵、佣兵,中高,可与VE0138/0143混编，必要时加小盾,,
VE,量产品牌,凹槽甲骑士,VE0146｜哥特骑士-银甲,马克西米利安式凹槽板甲,德意志—中欧,1510-1530,马克西米利安式；凹槽板甲；封闭盔,凹槽封闭盔、凹槽板甲身体、肩臂甲、剑、长盾,16世纪初德意志重装骑士/宫廷武装,中高,可换更合适的小型盾或无盾，配poleaxe/骑枪,厂家“哥特”命名不准确；轮廓和密集凹槽已明显进入文艺复兴早期德式甲语言。,
VE,量产品牌,独角兽骑士,VE0150｜独角兽骑士,纹章化巨盔＋罩袍盛期中世纪装备组合,西欧,1250-1350,巨盔；罩袍；纹章骑士,巨盔、罩袍、直剑、长盾,13世纪后半—14世纪初架空纹章骑士,中高,盾牌若换熨斗盾会更接近经典骑士轮廓,巨盔与罩袍的年代组合较协调。,
VE,量产品牌,鹰纹骑士,VE0152｜神鹰骑士,纹章化巨盔＋罩袍盛期中世纪装备组合,西欧,1250-1350,巨盔；罩袍；鹰纹章,巨盔、罩袍、直剑、纹章盾,13世纪后半—14世纪初架空纹章骑士,中高,可换更朴素熨斗盾/骑枪；头盔本体很适合拆用,与VE0150同模，整体时代感较协调。,
VE,量产品牌,栅格盔骑士,VE0151｜教皇骑士,栅格面甲封闭盔＋板甲装备组合,西欧—中欧,1570-1620,封闭盔；板甲；栅格面甲,栅格面甲封闭盔、板甲身体、斧、盾,晚16世纪—17世纪初西欧/中欧重装骑士或仪仗角色,中高,不采用“教皇骑士”身份；可换更中性的盾牌/纹章，按近世早期板甲角色使用,卖家“教皇骑士”缺乏具体历史依据；头盔更接近晚16世纪—17世纪初栅格面甲封闭盔语言，整套有玩具化处理。,
ST/T系列,量产品牌,链甲骑士,链子甲骑士,全身锁甲＋锅盔盛期—晚期中世纪装备组合,西欧—中欧,1250-1400,锁甲；锅盔；军士；步战,锅盔、锁甲兜帽/护颈、全身锁甲印花、长剑,13–14世纪骑士军士、富裕步兵、城堡守卫,中高,可加圆盾/熨斗盾；若做更早角色可换鼻护盔，若做更晚角色可换布面甲,商品身份较泛，但装备组合可落在盛期至14世纪重装人物范围。,8.08
ST/T系列,量产品牌,百合纹军士,ST3832 法兰西神罗军,分片式鼻护盔＋锁甲百合纹章盛期中世纪装备组合,法国—西欧,1200-1300,百合纹章；鼻护盔；锁甲,分片式鼻护盔＋锁甲护颈、锁甲/罩袍、斧、纹章盾,13世纪法国或泛西欧纹章骑士/军士,中高,保留百合纹章但忽略“神罗军”标签；武器可换剑/长矛使时代感更稳,厂家阵营名自相矛盾，但百合纹章、鼻护盔与锁甲体系可重新解释为13世纪法兰西风格人物。,8.08
ST/T系列,量产品牌,狮鹫纹军士,ST3834 狮鹫神罗军,锅盔＋锁甲纹章盛期中世纪—14世纪装备组合,西欧—中欧,1250-1400,锅盔；锁甲；长矛；纹章,锅盔、锁甲/罩袍、长矛、纹章盾,13–14世纪军士、骑士随从、城堡守卫,中高,可按地域替换盾牌纹章；长矛与锁甲组合基本可直接使用,“神罗军”属于架空包装；头身和长矛组合可重新解释为泛中欧/西欧军士。,8.08
ST/T系列,量产品牌,黑鹰军士,ST3835 猎鹰神罗军,分片式鼻护盔＋锁甲纹章盛期中世纪装备组合,德意志—中欧,1150-1300,黑鹰；鼻护盔；锁甲,分片式鼻护盔＋锁甲护颈、锁甲/罩袍、棱锤、纹章盾,12–13世纪德意志/中欧骑士军士或Ministerialis风格角色,中高,可将夸张棱锤换为剑/斧/长矛；黑鹰黄底可保留作帝国感纹章,在ST“神罗”款中视觉指向最自然之一；具体纹章仍视为架空而非某一真实单位。,8.08
ST/T系列,量产品牌,白马骑士,白马布袍骑士,巨盔＋锁甲罩袍盛期中世纪装备组合,西欧,1250-1350,巨盔；锁甲＋罩袍；熨斗盾,巨盔、锁甲＋罩袍、直剑、熨斗盾,13世纪后半—14世纪初西欧纹章骑士,高,可换骑枪或更朴素熨斗盾；其余基本可直接陈列,头盔、锁甲罩袍与盾牌处于同一盛期中世纪视觉体系。,8.08
ST/T系列,量产品牌,红龙骑士,T3634｜红龙布袍骑士,分片式鼻护盔＋锁甲纹章盛期中世纪装备组合,西欧—中欧,1150-1300,分片盔；鼻护盔；锁甲＋罩袍；纹章骑士,分片/鼻护盔＋锁甲护颈、罩袍/锁甲、纹章盾、夸张锤类武器,12–13世纪西欧/中欧骑士或军士,中高,建议把夸张锤头换为普通剑、斧或长矛，整套会更接近历史视觉,头身组合基础很好，主要问题是武器造型夸张；红龙纹章按架空纹章处理。,8.08
GH,量产品牌,耶路撒冷骑士,GH0253｜耶路撒冷骑士,巨盔＋锁甲罩袍装备组合,耶路撒冷王国—黎凡特法兰克诸国,1250-1291,巨盔,巨盔、锁甲＋罩袍、剑、纹章盾,13世纪后半晚期耶路撒冷王国骑士/法兰克重装骑士,中高,可配骑枪或更朴素的熨斗盾；若做更早十字军需调整经典五十字纹章,巨盔、罩袍和盾的时代感较协调；更适合约1270–1291的晚期王国，而非1099年第一次十字军。,
GH,量产品牌,耶路撒冷弩手,GH0255｜耶路撒冷骑士,鼻护开放盔＋锁甲装备组合,耶路撒冷王国—黎凡特法兰克诸国,1150-1291,锁甲；鼻护盔；弩手,鼻护/开放式头盔＋锁甲护颈、锁甲/罩袍、十字弓、盾,十字军国家拉丁步兵、弩手、军士,中高,可换较朴素圆盾/熨斗盾；也可拆件用于13世纪泛西欧弩手,相比同组重装骑士更接近普通十字军国家军人的装备层级；商品身份可用，具体纹章仍按题材化理解。,
GH,量产品牌,黑十字弩手,GH0259｜的黎波里骑士,鼻护开放盔＋锁甲装备组合,的黎波里伯国—黎凡特法兰克诸国,1150-1289,锁甲；鼻护盔；弩手,鼻护/开放式头盔＋锁甲护颈、锁甲/罩袍、十字弓、盾,的黎波里伯国或泛十字军国家步兵/弩手,中高,装备组合可直接利用；若严格表现的黎波里伯国，建议另换更合适的家族/伯国纹章,装备时代感较好，但厂家白底黑十字不宜直接视作历史的黎波里伯国纹章。,
DY_Minifigs,量产品牌,哥特骑兵,DY334｜哥特骑兵-银色甲,晚期德意志哥特式板甲＋哥特式板质马铠装备组合,德意志南部—奥地利,1480-1500,晚期哥特式；板质马铠；重骑兵,晚哥特式骑士板甲、封闭/过渡型头盔、骑枪、完整板质马铠,15世纪末德意志/奥地利重装骑士；哥特式具装骑兵展示,中高,若追求更典型高哥特视觉，可把骑士头盔换成萨莱特盔＋护颏；保留原板质马铠,马铠的多层活动板、凹槽和尖叶边缘非常符合晚15世纪德式哥特式马铠语言；骑士头盔略带约1500年前后过渡感。,
DT系列,量产品牌,条顿骑士,DT806｜条顿骑士,纹章化巨盔＋锁甲装备组合,德意志骑士团—波罗的海地区,1280-1400,巨盔；锁甲；纹章盔饰；角状盔饰,带角状纹章盔饰的巨盔、锁甲/过渡甲、白色黑十字罩袍、长枪/盾,13世纪末—14世纪高级条顿骑士、纹章展示型重装骑士,中高,若强调普通战场角色，可去掉夸张角饰并使用更朴素的白底黑十字盾,角状盔饰属于个人纹章/展示性元素，不应理解为条顿骑士团统一制式；基础巨盔＋锁甲/罩袍体系可信。,
乐宜乐,兼容积木品牌,萨拉丁,萨拉丁,鳞甲／札鳞式复合甲＋锁甲护颈装备组合,埃及—叙利亚—阿尤布王朝,1170-1193,伊斯兰—突厥/伊朗传统；鳞甲；锁甲护颈,高顶头盔、锁甲护颈、鳞甲/札鳞式复合甲身、盾牌与弯曲单刃刀等,萨拉丁本人主题陈列；阿尤布王朝上层重装骑兵形象,中高,可与12世纪阿尤布步骑兵、十字军阵营做对景；若严格考据可关注弯刀造型,整套按角色化历史人物商品理解，不视为萨拉丁本人甲胄1:1复原；弯曲单刃刀等细节仍需谨慎。,400
