目标形象,年代,地域,头盔建议,甲身建议,武器/盾牌建议,主要避坑
阿尤布—早期马穆鲁克重骑兵,1150-1350,叙利亚—埃及—西亚,穆斯林头盔3/4（THE MIDDLE EAST 03/04）；成品可参考萨拉丁（乐宜乐）,札甲胸甲优先；鳞甲胸甲或锁甲胸甲也可；下身优先锁甲裙1/2,长矛；圆盾；复合弓；剑,新东罗马甲件可作跨文化借件，但不要连东罗马盾纹和条片裙甲整套照搬；15世纪成熟马穆鲁克仍另缺板链甲。
科穆宁时代东罗马—巴尔干武士,1175-1200,东罗马—巴尔干,弗里吉亚式尖顶盔,札甲胸甲或鳞甲胸甲；下身用锁甲裙1/2,鸢形盾；长矛；剑,该盔更适合晚12世纪东罗马军队—巴尔干语境；不要泛化到整个10–12世纪。
盛期中世纪/十字军骑士,1180-1300,西欧—十字军国家,封闭盔/巨盔系（MEDIEVAL 01/02/23/43/44/45–52）；量产优先纹章巨盔（VE0150/0152）、尖顶巨盔（VE0117/0119/0121/0122）；巨盔（GH0253）；巨盔（ST 白马骑士）,链甲带肩甲（ARMOR 07）＋罩袍皮带（ARMOR 17）；量产可借锁甲躯干（VE0138）或罩袍身体（VE0150/0152）；GH/ST/T锁甲＋罩袍躯干可作量产来源,1180–1220可优先鸢形/杏仁形盾；13世纪中后期转向熨斗盾；骑枪（WEAPON 07）、剑,不要高哥特甲；盾牌要注意年代变化，不用一种盾型覆盖整个1180–1300。
早期德里苏丹国骑兵（妥协）,1200-1400,北印度—突厥/阿富汗军事圈,穆斯林头盔3/4；或借库曼/草原式锥盔,札甲胸甲或锁甲胸甲；锁甲裙1/2,圆盾；长矛；复合弓；剑,时代与突厥—伊朗军事底子可成立，但现有服装、盾牌和头盔缺少明显印度地域特征，只适合做泛突厥—印度穆斯林精锐。
13世纪末—14世纪初条顿骑士团重骑士,1250-1350,德意志骑士团—波罗的海十字军地区,巨盔；量产可用纹章巨盔（条顿纹章骑士，普通战场角色建议去掉夸张盔饰）；有角纹章巨盔（DT806）可作步战/纹章展示型选择,锁甲＋白色罩袍；骑乘时可用锁甲马铠（条顿纹章骑士）,骑枪/长矛、剑；白底黑色直十字盾更稳妥,不要把巨大翼饰视为全体条顿骑士标准战场装备；角状盔饰按个人纹章/展示性元素理解。
伊儿汗/波斯化蒙古骑兵（妥协）,1250-1400,伊朗—高加索—蒙古伊儿汗国,库曼头盔2–5；穆斯林头盔3/4也可借,札甲胸甲优先；锁甲胸甲也可；下身用锁甲裙1/2,圆盾；复合弓；长矛；剑,技术体系可以成立，但现有头盔装饰、服装印刷与弓具还不够伊朗化；更像正确时代的泛草原—波斯重骑兵。
14世纪马穆鲁克重骑兵,1300-1400,埃及—叙利亚,穆斯林头盔3/4＋锁甲护颈类配件,锁甲胸甲或链甲带肩甲（ARMOR 07）；锁甲裙1/2,圆盾；长枪；复合弓；剑,纯锁甲重骑兵方案在14世纪完全可用；不要把晚15世纪苏丹级mail-and-plate反推成所有马穆鲁克的统一标准。
早期奥斯曼重骑兵（妥协）,1320-1420,安纳托利亚—早期奥斯曼,穆斯林头盔3/4（近似替代）,札甲胸甲或锁甲胸甲；下身用锁甲裙1/2,圆盾；复合弓；长矛；剑,整体时代方向成立，但缺真正典型的早期奥斯曼头巾盔等文化锚点；不要做成16世纪西帕希。
14世纪百年战争骑士,1330-1420,法国—英格兰—德意志,盆盔/德式猎犬盔系（MEDIEVAL 07–10、28–35）；量产可借面甲盆盔衍生（VE0108/0114），全覆面盔＋锁甲护颈（VE0116/0118/0120/0123/0144）仅作混合型预算替代；犬嘴盆盔＋锁甲护颈（GH0254/0258）可拆用于约1370–1420,板甲&甲裙（ARMOR 04）；锁甲护颈/颈圈（ARMOR 08/09/11/15）；量产可借布面板甲躯干（VE0144）,长剑（WEAPON 03）；骑枪；早期poleaxe,避免萨莱特盔（MEDIEVAL 21）＋高哥特套装。
晚中世纪步兵/佣兵,1350-1500,西欧—中欧,锅盔系（MEDIEVAL 16–18、37–39、42）；量产可用宽檐盔＋颈防锅盔族（VE0109/0111/0112/0138/0143/0145）；高顶分片式锅盔（GH）；ST系列锅盔/战帽,板甲罩衣/链甲带肩甲/肩甲2.0/手臂甲1.0（ARMOR 06/07/18/19）；量产可用锁甲躯干（VE0138）、厚布衣躯干（VE0143/0145）、布面板甲躯干（VE0144）,长柄武器系（WEAPON 04/05/06）；帕维斯盾（SHIELD 01）,不要给所有步兵封闭骑士盔。
纳斯里德格拉纳达骑兵（妥协）,1350-1500,格拉纳达—伊比利亚穆斯林地区,穆斯林头盔3/4或较尖的开放式锥盔,锁甲胸甲为主；可加局部金属加强，暂不强用西欧全板甲,轻长矛；剑；圆盾暂代,最大缺件是纳斯里德/北非特色adarga双瓣皮盾；没有它仍能做时代正确的泛格拉纳达骑兵，但辨识度有限。
15世纪初重装骑士,1400-1450,西欧,大盆盔（MEDIEVAL 36）,板甲&甲裙（ARMOR 04）＋臂/肩甲,长剑、poleaxe,不要11世纪锁甲纯套。
15世纪马穆鲁克精锐（妥协）,1450-1500,埃及—叙利亚,穆斯林头盔3/4＋完整锁甲护颈；若以后有更典型伊斯兰盔优先替换,锁甲胸甲＋锁甲裙可作基础；暂缺典型mail-and-plate板链甲,圆盾；长枪；复合弓；剑,纯锁甲能表现普通/较早马穆鲁克，但晚15世纪高级精锐最有辨识度的板链复合甲仍缺失。
米兰式骑士,1450-1500,北意大利,武装盔（MEDIEVAL 03）,米兰甲套装（ARMOR 01）,骑枪（WEAPON 07）；长剑（WEAPON 03）,不要巨盔/大面积锁甲护颈。
意大利步战武士/佣兵,1450-1500,北意大利—意大利城邦,巴布特盔 #2/#3（MEDIEVAL 11/12）,板甲罩衣（ARMOR 06）或较简洁的板甲/锁甲身体,长矛；十字弓；剑；小圆盾,不要直接配德意志高哥特全甲；Barbute更适合意大利步战、佣兵和城市军人语境。
法—勃艮第贵族/步战武士,1450-1500,勃艮第—佛兰德—法国北部,勃艮第壶盔（打铁的尼古拉）,布面甲、晚15世纪板甲或华丽罩袍组合,长枪、poleaxe、剑；可加纹章与织物装饰,不要直接做成16世纪封闭盔骑士。
奥斯曼西帕希（妥协）,1450-1600,奥斯曼帝国—安纳托利亚—巴尔干,波兰盔（MEDIEVAL 25）可近似借作çiçak/szyszak谱系；也可用穆斯林头盔3/4,锁甲胸甲为基础；札甲可作较早方案；成熟15–16世纪仍缺板链甲,圆盾；复合弓；长枪；剑,头盔与身体都属于近似方案；若追求典型成熟西帕希，优先等待奥斯曼式mail-and-plate与更标准的çiçak。
奥斯曼Akıncı轻骑兵,1450-1600,奥斯曼帝国—巴尔干边疆,简单开放盔；也可不用重金属盔,朴素布衣/厚布衣身体（VE0139–0142等）；少量锁甲即可,复合弓；长矛/标枪；小圆盾；剑,不要为了“奥斯曼感”强行全身重甲；轻装、高机动本身就是关键视觉。
德意志高哥特骑士,1470-1500,德意志南部—奥地利,萨莱特盔（MEDIEVAL 21）,哥特式甲套装（ARMOR 02）；量产完整骑乘可参考哥特骑兵（DY334，约1480–1500，马铠尤其值得保留）,poleaxe（WEAPON 04/11）；骑枪,不要犬嘴盆盔；DY334原头盔略带约1500过渡感，若追求教科书式高哥特可换萨莱特盔＋护颏。
晚哥特→Maximilian过渡,1500-1530,德意志—中欧,英式封闭盔（MEDIEVAL 22）或翻盖盔（打铁的尼古拉）；量产可用凹槽封闭盔（VE0146）；可翻面甲早期封闭盔（文艺复兴装饰甲骑士）,新哥特式盔甲套装（ARMOR 03）；马克西米利安套装（打铁的尼古拉）；量产可用凹槽板甲躯干（VE0146）；文艺复兴早期装饰甲身,长剑、poleaxe,不要当作1470年代典型高哥特；VE0146厂家虽称“哥特”，实际更偏1510–1530凹槽甲。
早期国土佣仆 / Knechtsharnisch,1510-1530,德意志南部—奥地利,大帽＋内层钢盔（打铁的尼古拉，Barett＋Hirnhaube）,凹槽胸甲（打铁的尼古拉）；普通灰色臂甲或红白膨袖式臂甲,长柄武器、早期16世纪剑；后续年代可过渡到双手剑,膨袖式臂甲更适合高级/展示性人物；不要把整套误当15世纪高哥特。
早期莫卧儿/印度穆斯林骑兵（妥协）,1525-1600,北印度—莫卧儿帝国早期,穆斯林头盔3/4可作泛伊朗—中亚式近似；其他东方锥盔亦可借,锁甲胸甲为主；札甲可作部分中亚传统角色,圆盾；复合弓；长矛；剑,普通骑兵可以做出方向，但缺印度/莫卧儿专属头盔、护臂和成熟板链甲；不适合冒充高级宫廷甲胄。
国土佣仆,1550-1600,德意志—中欧,16世纪开放盔；早期形象可用大帽＋内层钢盔（尼古拉，Barett＋Hirnhaube）,16世纪服装＋局部甲；早期可用凹槽胸甲（尼古拉）/普通灰色臂甲（尼古拉）,焰形大剑（打铁的尼古拉）,焰形Zweihänder更适合16世纪中后期；与约1520年代Knechtsharnisch需注意年代差。
晚16世纪—17世纪初比赛/重装角色,1570-1620,西欧—中欧,量产可借栅格面甲封闭盔（VE0151/VE0153）,晚16世纪全身板甲或比赛/仪仗甲；量产完整套装可参考栅格盔骑士（VE0151）,剑、战斧；比赛/仪仗场景可用纹章盾,栅格面甲封闭盔（VE0151/0153）属于晚16—17世纪语言，不宜当典型中世纪战场盔；“教皇骑士”身份不采信。
波兰翼骑兵,1600-1700,波兰—立陶宛联邦,优先用翼骑兵套装（打铁的尼古拉）内头盔；波兰盔（MEDIEVAL 25）仅作临时借件,翼骑兵套装（打铁的尼古拉）,超长骑枪、军刀；骑乘展示最能体现轮廓,已进入近世，不代表1410中世纪波兰骑士。
