目标形象,适用年代,地域,头盔建议,甲身建议,武器/盾牌建议,主要避坑
北朝盆领札甲重装甲士,0450 / 0600,北朝—北方,北朝盆领札甲甲士原配插缨兜鍪；也可换更明确北朝分片兜鍪,带盆领护膊札甲；甲裙保留,长矛/槊、刀剑,盆领不是固定朝代甲型；本行按北朝中后期重装甲士使用。
北朝晚期双圆护重装甲士,0500 / 0600,北朝晚期—北方,同精细度北朝分片式兜鍪,“虎豹骑”双圆护披膊甲身,长矛/槊、刀剑,双圆护按可观察结构处理，不直接等同“明光甲”；卖家“三国虎豹骑”题材不参与断代。
北朝晚期—隋持盾重装步兵,0500 / 0650,北朝晚期至隋—北方,北朝盆领札甲甲士原配兜鍪,北朝盆领札甲甲士完整甲身,高精度六边形盾＋刀剑；也可配可单手操作的长矛,六边形盾用于步战重甲路线；盆领札甲按北朝晚期至隋语境使用。
唐直身甲重装甲士,0618 / 0907,唐,白膜上色龙武军原配分瓣兜鍪＋札片顿项；低成本可用量产龙武军兜鍪,白膜上色龙武军直身甲主体；低成本可用量产龙武军直身甲身,长枪/矛、横刀、弓箭；原配长柄长刃可保留作唐代长刀风味,直身甲路线可用于唐代更宽时段；龙武军题材不代表专属甲型。
唐初高级武人/将领,0620 / 0650,唐,Cosmos Brick 李世民原配华丽兜鍪可保留作角色化展示,唐初两当披裹甲甲身（双圆护）,槊、刀剑；少用过度后世化盾牌,双圆护按可观察结构使用，不直接等同文献“明光甲”；孔雀羽、披风等按高级人物艺术化元素处理。
初唐—盛唐南衙宿卫长兵甲士,0620 / 0750,唐—京师/南衙,XP715 右骁卫原配分片式兜鍪,XP715 两当披裹甲主体,狭长叶形枪优先；超长直刀可作另一种长兵路线,右骁卫作为宿卫语境使用，不理解为专属甲型；本行以长兵配置区别于持盾宿卫。
唐代持盾宿卫甲士,0650 / 0800,唐,科睿 XP713 旅贲军兜鍪；也可换其他中高可信唐式分片兜鍪,科睿 XP713 两当披裹甲主体；或按题材换其他唐代甲身,科睿唐横刀＋六边形盾,“旅贲”是制度身份，不等于专属制服；大盾不必机械搭配长兵器，唐代持盾＋刀已有直接图像依据。
唐代着甲弓手,0650 / 0900,唐,XP714 神武军分片式兜鍪,XP714 神武军两当披裹甲主体,唐长弰反曲弓＋同系列横刀,只定义着甲射手路线，不把该防护层级外推为所有唐代弓手的默认装备。
吐蕃重装武士,0700 / 0842,吐蕃—青藏高原,妥协：现有藏式分瓣盔更适合8世纪以后；早段暂无理想独立盔,吐蕃甲原套札甲可作风味方案；严格复原时弱化/遮盖双圆护,长矛、弓箭；原套编织圆盾只作风味展示,甲盔主体可用于唐—吐蕃札甲技术背景；编织圆盾明显偏中晚期，严格吐蕃复原不优先。
盛唐西北/陇右长枪甲士,0714 / 0763,唐—陇右/西北,唐陇右军头盔版原配兜鍪,陇右军两当披裹甲主体,唐式柳叶中脊枪,陇右题材不代表专属甲型；本行按盛唐西北边军长枪甲士使用。
中晚唐北衙禁军甲士,0757 / 0900,唐—长安,两当披裹甲路线：XP714 神武军原配兜鍪；直身甲路线：龙武军原配分片兜鍪,两当披裹甲路线：XP714 神武军原套；直身甲路线：龙武军原套,神武军路线：丩字戟＋弓；龙武军路线：丩字戟或长枪,神武军、龙武军均作为北衙禁军题材；两当披裹甲与直身甲为平行路线。
晚唐至五代归义军重装甲士,0850 / 0950,晚唐至五代—河西,归义军原套分片兜鍪＋札片顿项；高价整套不拆,归义军原套晚唐两当披裹甲主体,同工艺层级长枪最稳；也可弓箭＋刀剑。原配大型长刃可保留作唐代长刀风味,归义军是历史语境而非专属甲型；高价换件保持同档次。
宋初持棹刀重装甲士,1000 / 1100,北宋,第二组第三款银色“全覆面深顿项圆顶盔”,多层披膊细片札甲,棹刀；原则上不再叠加原厂其他魔幻武器,低圆盔＋深顿项、多层披膊细片札甲与棹刀组成宋初重装路线。
两宋一般重装甲士,1000 / 1200,两宋,宽额札片顿项圆顶盔；较高级可用兽面翼饰圆顶盔,豹纹兽面细片甲身,普通长枪、柳叶形单手弯刀；鸦项枪或多曲长刃枪可作华丽长兵选择；圆盾可选,作为可重复制作的一般重装甲士模板，不默认使用凤翅、大缨等高级武将装饰。
两宋重装弩手,1000 / 1200,两宋,S103 金饰深顿项圆顶盔,S103 豹纹兽面细片甲身,军用弩；腰刀可作近身副兵,军用弩为视觉核心；旁牌适合在编组中与弩手协同。
两宋大盾步兵,1000 / 1200,两宋,宽额札片顿项圆顶盔,豹纹兽面细片甲身,尖顶大盾＋柳叶形单手弯刀；编组后列可配长枪手,大盾是本行视觉与战斗功能核心；不把牌、枪、弩等装备全部堆在同一人身上。
金代女真重装骑兵,1100 / 1234,金—女真/东北亚,高精度方案可直接使用新收“金代女真重装甲士”完整套装原配兜鍪；独立搭配可用新收“毛缘铁盔”；低成本继续使用库内 DY313 等较可靠女真兜鍪/深顿项方案,高精度方案直接使用新收“金代女真重装甲士”完整套装，不拆件；低成本继续使用现有 DY313、厚甲型等金代女真札甲方案,长枪/矛作为主武器最稳；可保留一柄锤、棍棒类击兵作副武器。不建议双持大型击兵。小型骑盾可选，但不是必须配置,“铁浮图”不是固定甲型，“斥候”不是本库正式兵种分类。新高精度套装本身不含马；若要表现完整甲骑，需另配合适具装马。
宋代高级武将/仪卫武将,1100 / 1279,两宋,高精度：宋代高级武将套装原配华丽兜鍪＋白色大缨；低成本：W1323/4/5 凤翅式兜鍪,高精度：宋代高级武将套装原配高精度甲身；低成本：W1323/4/5 量产宋式细片甲身,同工艺层级长枪/矛、刀剑或弓箭具；量产方案可用W1323/4/5原配刀/枪,卖家“赵云”按宋代高级将领/仪卫武将重解释；白缨、金饰等保留高级人物视觉，不泛化为普通宋军制式。
南宋高级重装甲士,1127 / 1279,南宋,高精度：背嵬军原配兜鍪；低成本：W1323/4/5 凤翅式兜鍪,高精度：背嵬军原套；低成本：W1323/4/5 量产宋式细片甲身,刀剑、长枪/矛、弓箭均可；高价套装只换同工艺层级武器,“背嵬军”是军号而非专属甲型；本行用于南宋精锐重装甲士，不与高级将领视觉混同。
蒙元一般着甲骑射兵,1200 / 1400,蒙古帝国至北元初期—东部内亚,36804 分瓣铁盔＋片状顿项；需要更高精度时再换更细致蒙古盔,36804 印刷甲身＋实体肩甲作低成本基底；以后可换更可靠的蒙古札甲身,短体反曲复合弓＋箭箙＋弯刀；小圆盾可选,弓本体只稳到宽泛内亚复合弓；背装箭箙属积木妥协。不要把36804理解为蒙古统一制式甲。
蒙元高级武将,1250 / 1400,蒙古帝国晚期至北元初期—东部内亚,蒙元高级武将套装原配高顶兜鍪；高精度完整套装优先保留,原套细密札甲、多层披膊/肩臂防护和前后分体甲裙整体保留,复合弓＋箭箙、弯刀、长矛/槊均可；如用圆盾，优先骑兵尺寸且保持同档次,“忽必烈”只作题材，不等于本人甲胄复原；以元代为核心表现，可延伸至蒙古帝国晚期/北元初期。
明初兀良哈蒙古重装甲士,1389 / 1500,明初—兀良哈蒙古,“兀良哈朵颜卫”原配高耸圆锥形兜鍪＋侧后甲片护颈；金属面护可保留作高级重装风味,原套细密札甲、实体披膊/肩臂防护和前后甲裙整体保留,弯刀＋小型圆盾可直接保留；也可同档次复合弓＋箭箙、长矛/槊,朵颜卫始设于1389年，属于明代兀良哈三卫体系，金属面护在蒙古文化圈有实物传统，但不当作朵颜卫制式依据。
晚明北方三眼铳手,1530 / 1644,明—北方军镇,XP666 原配银色兜鍪,XP666 原配甲身,三眼铳,三眼铳是视觉锚点；整体保持量产北方甲士层级。
晚明一般着甲骑兵,1550 / 1644,明,廉价明骑兵兜鍪,廉价明骑兵甲身；按需要改涂/换件,短刀＋圆盾最稳；也可长枪、弓箭,作为一般/量产着甲骑兵路线；偃月刀更适合操练/威仪，圆盾纹样偏艺术化。
晚明立牌/大盾步兵,1550 / 1644,明,XP666 原配银色兜鍪,XP666 原配甲身,大型步兵盾（DY系）＋腰刀；编组后列可配长枪,立牌按高阔蔽身的大盾功能表现；盾面纹样按具体场景选择。
晚明南方藤牌/赤藤甲兵,1550 / 1650,明—南方,20361 藤盔,20361 赤藤甲风味甲身；或将实体藤制部件搭配同精细度普通晚明身体,20361 藤牌＋腰刀＋标枪/短枪,不按三国“南蛮藤甲军”解释；按晚明南方藤牌/赤藤甲兵路线使用。
蓟镇重装长枪甲士,1560 / 1644,明—北方军镇,蓟州军原配尖顶明盔＋深护项,蓟州军原套布面镶钉重甲主体,原长枪可保留；仅在有同工艺层级更精细件时换长枪/腰刀,蓟镇军号不代表专属甲型；本行作为晚明北方重装长枪甲士使用。
晚明着甲鸟铳手,1560 / 1644,明—北方军镇,明军伍长原配多瓣帽儿盔方向兜鍪,明军伍长原套长身布面镶钉甲,鸟铳优先保留；可配腰刀，必要时只换同档次武器,“伍长”是组织身份不是甲型；着甲鸟铳手在晚明北方练军语境成立，不设想伍长专属颜色或制服。
万历援朝高级将领,1570 / 1610,明—东南,陈璘套装原配兜鍪,晚明高级将领重甲组合,腰刀/剑、弓、长兵；按水师身份可弱化骑兵化配件,“陈璘”是角色入口，不代表存在专门“水师提督制式甲”。
辽东精锐着甲骑射兵,1570 / 1620,明—北方军镇,辽东铁骑原配尖顶铁盔＋细片护项,辽东铁骑原套外露细片/鱼鳞状明甲,弓＋箭箙＋刀剑最稳；金瓜可换同档次长枪/骑枪,保留高价成品整体精度。商品名不代表统一“辽东铁骑制式甲”，但外露明甲＋骑射装备组合很适合晚明辽东精锐骑兵。
晚明辽东高级军官,1570 / 1630,明—北方军镇,辽东指挥使原配高顶兜鍪,蓝色镶钉/布面甲风味甲身、长甲裙,长枪、腰刀、弓箭、火器,龙纹、金色臂甲与挂饰偏高级将领化；不要泛化给普通边军。
万历帝《出警图》戎装,1580 / 1590,明—宫廷/京师,万历皇帝原配华丽兜鍪/翼饰与红缨,原配鱼鳞叶明甲/长身大甲主体,原配剑与弓箭附件优先完整保留,同时代本人宫廷图像是核心锚点。不是定陵出土铁甲复原，也不要泛化为普通晚明高级将领标准甲。
万历末掣电铳手,1598 / 1620,明,XP671 兜鍪,XP671 蓝色甲身,掣电铳,掣电铳用于万历末特定新式火器题材，适合作少量特色火器手。
关宁军甲士编组,1620 / 1644,明—北方军镇,关宁军原配高顶兜鍪,关宁军原套镶钉甲主体,三眼铳优先；另一人可配长枪、腰刀、弓箭或鸟铳,三眼铳在辽东题材可保留；不要把关宁军理解成单一统一制式甲。
清初八旗王公,1630 / 1660,后金至清初—满洲/八旗,多尔衮原配王公级华丽盔,原配上衣下裳式高级镶钉甲主体,原套完整保留；如需武器，仅使用同档次清初刀剑、弓箭或长兵,清初高级镶钉甲方向有实物依据；白色仅作正白旗题材视觉，不套用1756年后旗色制度。
清中期八旗中级贵族/高级旗员,1756 / 1800,清—八旗,“八旗旗主”原配华丽盔,“八旗旗主”原套,原套武器优先；补配时使用同工艺层级清式弓箭、腰刀或长枪,与多尔衮王公级和普通兵丁分层表现；旗色、镶边按清中期八旗语境使用。
索伦八旗甲士,1700 / 1800,清—黑龙江/八旗,,索伦兵原套黑色镶钉甲,清式弓箭＋箭箙＋腰刀；可配长枪,原配顶戴用于身份/非战斗展示；“索伦”按黑龙江驻防八旗精锐甲士语境使用。
清中期八旗兵丁,1756 / 1800,清—八旗,,成品路线：KT1095 原配甲；量产路线：DY 八旗镶钉绵甲上衣＋下裳,清式弓箭＋箭箙＋腰刀；可配长枪,1756年后旗色/镶边按题材选用；普通兵员保持实用、朴素的装备层级。
