卖家,卖家类型,配件名称,类别,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,推荐搭配,甲胄结构/制作方式,复原依据类型,考据置信度,考据备注
迪库,大众量产品牌,短体反曲复合弓,武器,36804｜蒙古兵｜弓｜拆件,内亚反曲复合弓,东部内亚,1200 / 1450,内亚；反曲弓；复合弓；骑射；短体,内亚骑射兵；蒙古帝国—元/北元题材可与分瓣铁盔、箭箙、弯刀搭配,短体；短直握把；两侧连续反曲；独立刚性弰与弓臂—弰过渡表现较弱,考古实物；史书或制度文献；学术研究；现代综合复原,中,轮廓符合宽泛内亚反曲复合弓，但结构过简，未表现独立弰等关键特征；蒙古归属主要来自原套语境。
迪库,大众量产品牌,藤牌,盾牌,20361｜藤甲兵｜圆藤盾｜拆件,晚明至清初圆形藤牌,晚明至清初—南方,1550 / 1700,晚明；清初；藤牌；圆盾；藤编；南方军；藤牌手,晚明至清初南方藤牌兵；与腰刀、标枪/短枪搭配,藤材编织圆盾；中央隆起/盾脐；外缘编织结构,兵书；史书或制度文献,高,圆形藤牌适合晚明至清初南方军旅；纹理与中央金属件属积木化简化。
迪库,大众量产品牌,藤盔,头盔,20361｜藤甲兵｜藤盔｜拆件,晚明藤笠/藤制战盔,明—南方,1550 / 1700,晚明；藤盔；藤笠；藤编；南方军；轻装,晚明南方藤牌兵、轻装甲士；与藤牌、赤藤甲纹理甲身搭配,藤材编织盔/笠形主体；侧后垂护意象,兵书；史书或制度文献,中高,《武备志》明确记藤材可制笠以临敌护首，商品方向可用；具体高耸盔形和侧后结构仍属现代概括。待实拍核实结构。
迪库,大众量产品牌,赤藤甲纹理甲身,甲身,20361｜藤甲兵｜甲身/肩甲｜拆件,晚明藤甲/赤藤甲,明—南方,1550 / 1650,晚明；藤甲；赤藤甲；藤编；南方军；轻甲,晚明南方藤牌兵/轻装甲士；与藤盔、藤牌、腰刀或标枪搭配,藤编甲身意象；实体肩部防护,兵书；史书或制度文献,中,晚明确有藤甲/赤藤甲记载；商品大量依靠印刷，仅作低成本视觉方案。
科睿,大众量产品牌,小片札甲,甲身,XP683｜汉军钩镶兵；XP684｜汉军铩兵；XP688｜楚军戈兵；XP689｜霸王项羽｜甲身｜拆件,汉式小片札甲,秦汉,-0200 / 0100,秦汉；札甲；小甲片；低成本；跨套复用,普通楚汉/西汉甲士的低成本备用；优先与更可靠头盔、盾牌和兵器重组,小型札片纹理；肩部/下缘防护,考古实物,中,甲片、披膊与下缘结构被压缩成较厚、规整的玩具化模块；不建议作为汉甲结构的代表性视觉锚点。
科睿,大众量产品牌,钩镶,盾牌,XP683｜汉军钩镶兵｜拆件,钩镶,东汉,0050 / 0200,东汉；钩镶；小盾；格斗；攻防一体,东汉近战步兵；可与刀剑搭配，甲胄另按具体年代选择,中央小型盾体；上下钩；前突构件；兼具格挡与钩挂功能,考古实物,高,商品抓住上下钩、中部盾体与前突构件等关键结构；现存较完整考古对应以东汉材料更清楚，因此不默认上推至楚汉之际。
科睿,大众量产品牌,双弧盾,盾牌,XP684｜汉军铩兵；XP688｜楚军戈兵；XP689｜霸王项羽；XP690｜汉军轻步兵；XP691｜汉军精锐步兵｜盾牌｜拆件,汉代双弧盾,楚汉至西汉,-0210 / 0100,楚汉；西汉；双弧盾；步兵盾；兽纹艺术化,楚汉—西汉步兵；与戟、矛、刀剑及札甲搭配,上下/两端内收的双弧轮廓；木盾/漆盾意象,考古实物；墓葬俑像；同时代图像或绘画；学术研究,中高,双弧/收腰轮廓适合汉初—西汉盾牌表现；商品红色兽纹、尺寸与具体构造属艺术化，不作为制式纹样依据。
科睿,大众量产品牌,铩,武器,XP684｜汉军铩兵｜拆件,铩,秦汉,-0200 / 0200,铩；长柄刺兵；上翘镡；秦汉,秦汉步兵长柄刺击兵器；可与札甲、盾牌等按具体兵种重组,剑形双刃长锋；上翘弧形镡；长柄,考古实物；学术研究,中高,具明确独立镡，按铩收录；比例有简化。
科睿,大众量产品牌,小札片编缀胄,头盔,XP687｜楚军弓兵；XP688｜楚军戈兵；XP689｜霸王项羽｜头盔｜拆件,战国晚期至秦汉札片式铁胄,战国晚期至秦汉,-0250 / 0100,楚汉；西汉；札片胄；编缀式胄；小甲片,楚汉—西汉甲士；可与大型长方形札片甲、双弧盾、戟搭配,多枚小型札片编缀成胄体；侧面/护耳防护意象,考古实物；现代综合复原,中高,造型语言与秦汉札片编缀式胄相符，适合作为楚汉—西汉方向的表现；夸张羽饰应按身份酌情使用。
科睿,大众量产品牌,卜字戟,武器,XP688｜楚军戈兵｜拆件,戈矛合体戟,战国晚期至秦汉,-0250 / 0100,戟；长兵；楚汉；秦汉；直刺；勾啄,楚汉—西汉步兵；可与汉式小札片胄、双弧盾搭配,直刺矛锋＋横向戈刃的复合长兵器结构,考古实物；学术研究,中高,直刺锋与横向戈刃并存，结构更接近戈矛合体戟；具体比例和刃形略有夸张。
科睿,大众量产品牌,大型长方形札片甲,甲身,XP690｜汉军轻步兵；XP691｜汉军精锐步兵；XP692｜汉军重装步兵；XP695｜楚军重装步兵｜大片甲身造型族,大型长方形札片甲,汉,-0200 / 0100,西汉；大甲片；长方形札片；札甲；重装步兵,西汉大甲片甲士；楚汉题材时优先搭配汉式小札片胄与双弧盾,较大型长方形札片；札片编缀甲身,考古实物；现代综合复原,中,汉代大型长方甲片方向成立；商品甲片数量、叠压和穿缀均有简化；头盔与甲身应分别断代。
科睿,大众量产品牌,纵向长片铁胄,头盔,XP690｜汉军轻步兵；XP691｜汉军精锐步兵；XP692｜汉军重装步兵；XP695｜楚军重装步兵｜同造型族拆件,东汉纵向长片铁胄,东汉—北方,0100 / 0220,东汉；长条札片；纵向分片；铁胄；北方,东汉北方/东北甲士；不建议默认用于楚汉之际或西汉初,纵向长条铁片围合盔顶；下部较短甲片/护颈意象,考古实物,中,纵向长条铁片围合盔顶，与东汉东北材料方向相近；少量大分片属简化；头盔与同系列甲身应分别断代。
科睿,大众量产品牌,铩,武器,XP692｜汉军重装步兵｜拆件,铩,秦汉,-0200 / 0200,铩；长柄刺兵；横镡；秦汉,秦汉重装步兵；与汉式札甲搭配；作为长柄双手兵器时不强求同时持盾,剑形双刃长锋；横镡两端微翘；长柄,考古实物；史书或制度文献,中高,具明确横镡，铩方向成立；比例有简化。
科睿,大众量产品牌,钺戟,武器,XP695｜楚军重装步兵｜拆件,汉代钺戟,汉,-0200 / 0200,钺戟；复合长兵；钺刃；纵向刺锋；汉代,汉代步兵/重装步兵；可与札甲重组,钺/斧形横向劈刃＋独立纵向剑形刺锋组成复合器首,考古实物；学术研究,中高,“钺戟”按现代考古形制定名；本件纵刺锋与侧向斧/钺刃组合相符。
科睿,大众量产品牌,小片甲披膊甲身,甲身,XP713｜旅贲军；XP714｜神武军；XP715｜右骁卫｜同型甲身,唐两当披裹甲,唐,0618 / 0907,唐；两当披裹甲；小甲片；披膊；甲裙；札鳞未定,唐代宿卫、禁军及一般重装甲士；可分别配横刀＋盾、丩字戟/弓、长枪/长刀,密集小甲片纹理；独立披膊/肩臂防护；长甲裙,同时代图像或绘画；史书或制度文献,中高,XP713—715共用甲身，属两当披裹路线；小甲片纹理不足以判断札/鳞固定方式。
科睿,大众量产品牌,六边形盾,盾牌,XP713｜旅贲军｜盾牌｜拆件,六边形盾,中国,0300 / 0700,六边形盾；多边形盾；步兵盾；包边；加固带,步兵、持盾甲士；与刀剑、短兵或可单手操作兵器组合,六边形盾体；上下收尖；横向加固带；包边及铆钉意象,同时代图像或绘画；史书或制度文献；学术研究,中,六边形盾以魏晋南北朝至隋唐过渡期证据较集中；本件不锁定具体制式。
科睿,大众量产品牌,唐横刀,武器,XP713｜旅贲军｜横刀｜拆件,唐横刀,唐,0600 / 0900,唐；横刀；佩刀；步兵；直刀；环首；刀格,唐代宿卫、旅贲/卫士、普通着甲步兵；可与盾牌组合,直身单刃；短柄；小型刀格；环首；斜收刀尖,同时代图像或绘画；史书或制度文献,中高,《唐六典》可证横刀为兵士佩刀；本件具环首与刀格。
科睿,大众量产品牌,长弰反曲弓,武器,XP714｜神武军｜弓｜拆件,唐长弰复合弓,唐,0600 / 0900,唐；弓；长弰；反曲弓；复合弓；骑射,唐代骑射/宿卫甲士；可与箭箙、横刀搭配,长弰轮廓；工作弓臂与端部结构有明显差分；反曲复合弓意象,同时代图像或绘画；史书或制度文献；学术研究,中高,长弰反曲轮廓与唐代常见路线相容；不据制度名称反推具体弓型，也不据塑料外观硬判筋、角等材料。
科睿,大众量产品牌,狭长叶形枪,武器,XP715｜右骁卫｜长枪/槊类长兵｜拆件,细长叶形铁矛/枪,唐,0618 / 0907,唐；长枪；矛；细长叶形,唐代宿卫、步骑兵长兵；可与右骁卫等甲士搭配,狭长双刃刺锋；器首细长；銎装/套柄意象；长杆,考古实物；史书或制度文献,中高,隋唐细长叶形枪/矛方向；不强定槊。
科睿,大众量产品牌,超长直刀,武器,XP715｜右骁卫｜超长直刀｜拆件,唐长刃刀,唐,0600 / 0900,唐；超长直刀；长刀；长刃刀；步兵；双手刀；环首；刀格,唐代重装步兵/宿卫长刀表现；可与较完整甲胄搭配,长直单刃刀身；长柄可双手握持；短刀格；环首,史书或制度文献；学术研究,中高,唐代长刀方向成立；不足以锁定“斩马刀”或固定陌刀形制。
科睿,大众量产品牌,丩字戟,武器,科睿 XP714｜神武军；GG003｜大唐龙武军原色版｜拆件,丩字戟,魏晋至唐,0300 / 0800,丩字戟；翘枝戟；戟；魏晋南北朝；隋唐；长兵,隋唐武士、宿卫、禁军风味长兵；具体年代按套装另行限制,中央纵向刺锋＋单侧横枝明显向上弯翘；以刺击为主要视觉特征,同时代图像或绘画；学术研究,中高,横枝上翘的造型可归入“丩字形/翘枝戟”造型族；侧枝弯曲差异不足以另立“镰钩”等历史类型。
未标明品牌,大众量产品牌,偃月形大刀,武器,大明大关刀兵铁骑＋战旗｜拆件,偃月刀,明,1500 / 1644,偃月刀；大刀；武艺；仪仗,步战武艺展示、将领仪仗；不建议与骑盾并用,长柄大刀；宽大月牙状刀身,兵书,中高,历史上确有此类大刀，但明代兵书已指出更偏操练、威仪展示；商品适合作为存在性与风味表现，不宜当作常规骑战主武器。
未标明品牌,大众量产品牌,八旗镶钉绵甲上衣,甲身,DY314–DY321｜八旗兵｜甲上衣｜拆件,八旗镶钉绵甲上衣,清—八旗,1750 / 1800,八旗；绵甲；镶钉；上衣；模块化,同系列下裳、八旗盔；清式筋角弓；适合低成本换色/混搭,绸/布面；外饰帽钉；上衣式结构,考古实物；传世实物,中高,历史八旗甲为上衣下裳式；本件可拆结构适合混搭。商品涂装质量不一，镶旗边色存在手涂不齐问题。
未标明品牌,大众量产品牌,八旗镶钉绵甲下裳,甲身,DY314–DY321｜八旗兵｜甲下裳｜拆件,八旗镶钉绵甲下裳,清—八旗,1750 / 1800,八旗；绵甲；下裳；裙甲；模块化,同系列甲上衣、八旗盔；可按骑乘/步战做积木层面的替换,分片下裳/裙甲模块,考古实物；传世实物,中高,历史实物下裳分左右两片；本件以裙甲模块近似上衣—下裳分体逻辑，便于混搭。
未标明品牌,大众量产品牌,八旗黑漆盔,头盔,KT1095｜八旗兵｜无单件命名｜头盔｜拆件,清代八旗皮盔/黑漆盔,清—八旗,1750 / 1800,八旗；皮盔；黑漆；盔缨,八旗镶钉绵甲、弓箭、腰刀,牛皮胎；黑漆；盔梁/盔额装饰；插缨结构,考古实物；传世实物,中高,轮廓、黑漆盔体与缨饰等关键视觉特征较好；具体金属饰件与配色仍属商品化简化。
未标明品牌,大众量产品牌,大型步兵盾,盾牌,DY314–DY321｜八旗兵｜盾牌｜拆件,明代大型步兵盾,明,1500 / 1644,步兵盾；大型盾；跨套复用,晚明步兵、守城兵；可与长枪、腰刀搭配，不必保留八旗涂装,大型木盾意象；可蔽身,兵书,中,盾体为大型步兵盾方向，适合明代步兵借件；纹样与尺寸均为近似，暂不锁定具体制式。
未标明品牌,大众量产品牌,大型长弰复合弓,武器,KT1095｜八旗兵｜无单件命名｜弓｜拆件,清式筋角复合弓/满洲式复合弓,清—满洲/八旗,1644 / 1911,清；八旗；骑射；长弰；大型复合弓；满洲弓,八旗甲士、索伦兵；与箭箙、腰刀搭配,整体大型；工作弓臂宽厚；刚性长弰明显；强反曲轮廓（积木化）,传世实物；学术研究,中高,长大刚性弰与大型比例具有明显清弓辨识度；塑料件不能证明木胎、角面、筋背等材料结构。
未标明品牌,大众量产品牌,彩绘兽面圆盾,盾牌,大明铁骑系列｜无单件命名｜圆牌｜拆件,圆盾,中国,0600 / 1800,圆盾；兽面纹；彩绘；单手盾,步兵或骑兵单手持盾；可与刀剑、短兵等组合,圆形盾体；左臂系持；兽面彩绘,同时代图像或绘画；兵书；史书或制度文献；学术研究,中,圆盾自唐至清持续见用；兽面彩绘属样式特征，不据此细分年代。
未标明品牌,大众量产品牌,三眼铳,武器,XP666｜三眼铳手｜拆件,三眼火铳,明—北方军镇,1530 / 1644,火器；三眼铳；辽东；北方边军,晚明北方步骑兵、辽东/关宁军；可与布面甲、兜鍪搭配,三管并列火铳；长木柄,考古实物；兵书；学术研究,高,三管＋长柄的关键结构明确，适合晚明北方军镇及辽东题材。
未标明品牌,大众量产品牌,鸟铳,武器,XP667｜鸟铳手｜拆件,鸟铳火绳枪,明,1548 / 1644,鸟铳；火绳枪；火器,东南军、边军火器手；可换更朴素军帽或兜鍪,长枪管；枪托；火绳枪机意象,兵书,中高,积木尺度下枪托与锁机表达较清楚，适合作为晚明单兵火绳枪。
未标明品牌,大众量产品牌,球形投掷火器件,武器,XP668｜掷弹手｜拆件,明代球形投掷火器,明,1550 / 1644,火器；投掷火器；守城；水战,水师接舷战、守城火器手；与普通长枪/刀牌兵混编,球形壳体；引信意象（积木化）,兵书,中,明代存在多种投掷火器，但不宜套用近代欧洲“掷弹兵”兵种概念；本件仅作表现件。
未标明品牌,大众量产品牌,掣电铳,武器,XP671｜掣电铳手｜拆件,赵士桢式掣电铳,明,1598 / 1620,万历；掣电铳；后装火绳枪；新式火器,万历末新式火器手；不宜大量普及到普通军队,长铳身；后膛/子铳结构意象；火绳枪机,兵书；学术研究,中高,赵士桢式掣电铳为万历末特定新式火器；商品结构有简化，应限制为少量实验/新式装备。
未标明品牌,大众量产品牌,细片甲披膊甲身,甲身,唐陇右军｜头盔长矛版｜甲身｜拆件,唐两当披裹甲,唐,0618 / 0907,唐；两当披裹甲；小甲片；披膊；臂甲；长甲裙；札鳞未定,唐代边军、河陇军镇及一般重装甲士；优先配唐式柳叶中脊枪，也可配横刀、弓箭,密集小甲片纹理；独立披膊/肩臂防护；长甲裙；腰部附件,墓葬俑像；同时代图像或绘画；史书或制度文献,中高,甲体、披膊/肩臂与长甲裙构成两当披裹路线；小甲片纹理不足以判定札/鳞固定方式。
未标明品牌,大众量产品牌,柳叶中脊枪,武器,唐陇右军头盔长矛版｜拆件,柳叶形铁矛/枪,唐,0618 / 0907,唐；柳叶形；中脊；枪；矛,盛唐边军、步兵长兵；可与唐两当披裹甲或其他同时期甲士搭配,柳叶形双刃矛身；明显中脊；圆骹/套柄意象；长杆,考古实物；史书或制度文献,中,柳叶形、中脊与圆骹方向成立；比例与脊线有简化。
未标明品牌,大众量产品牌,双圆护高护颈甲身,甲身,GG002｜大唐龙武军银色版；GG003｜大唐龙武军原色版｜甲身｜拆件,唐直身甲,唐,0618 / 0907,唐；直身甲；双圆护；高护颈；披膊；长身甲,唐代重装甲士、宿卫；可配丩字戟或唐式长枪,成对圆护；胸腰裙连续长身甲体；高护颈；大型弧形披膊,墓葬俑像；同时代图像或绘画；学术研究,中高,长身轮廓明确，但腰带、甲片和披膊细节高度简化；同型换色不另建档。
未标明品牌,大众量产品牌,长刃宽肩枪,武器,GG002｜大唐龙武军银色版｜拆件,长刃形铁矛/枪,唐,0618 / 0907,唐；长刃；宽肩；长枪；矛,唐代禁军、宿卫及一般甲士；可与唐两当披裹甲等套装搭配,狭长双刃刃体；刃根形成明显外张肩部；下接较粗銎部；长杆,考古实物；史书或制度文献,中高,与隋唐洛阳城所见长刃、肩部过渡明显的铁矛路线相容，并与库内其他唐枪有清楚视觉差分；不足以锁定具体出土编号。
未标明品牌,大众量产品牌,凤翅式兜鍪,头盔,W1323 武穆岳飞-黑甲；W1324 武穆岳飞-银甲；W1325 武穆岳飞-金甲｜头盔｜拆件,宋代凤翅式兜鍪,两宋,1000 / 1250,宋代；凤翅式兜鍪；武将,两宋高级武将；与宋式细片札甲等搭配,金属兜鍪意象；高盔体；两侧凤翅式装饰；顶部缨饰,墓葬俑像；同时代图像或绘画；兵书,中高,凤翅式兜鍪具有较强宋代视觉辨识度，但凤翅、额饰与金属装饰明显英雄化。
未标明品牌,大众量产品牌,兽面饰细片札甲,甲身,W1323 武穆岳飞-黑甲；W1324 武穆岳飞-银甲；W1325 武穆岳飞-金甲｜甲身｜拆件,宋代细片札甲,两宋,1000 / 1250,宋代；札甲；细片札甲；披膊；甲裙；高级武将,两宋高级武将；优先配宋式兜鍪、佩剑/佩刀或长枪,细片札甲甲身；披膊/肩臂防护；长甲裙；胸腹兽面与金饰,墓葬俑像；同时代图像或绘画；兵书,中,细片札甲结构清楚；胸腹兽面、金饰及整体华丽程度明显角色化，三色同模合并建档。
未标明品牌,大众量产品牌,鸦项枪,武器,W1324 武穆岳飞-银甲｜原配长枪｜拆件,鸦项枪,两宋,1000 / 1250,宋代；鸦项枪；多层塔形；长兵,宋代甲士、高级武将；可与凤翅式兜鍪及武将甲搭配,多层塔形枪头；刃根无明显阔张；长柄；尾端有鐏,同时代图像或绘画；兵书；史书或制度文献；学术研究,中,宋代鸦项枪图式；不与四棱麦穗形锥枪混同。
未标明品牌,大众量产品牌,柳叶形单手弯刀,武器,W1323 武穆岳飞-黑甲｜原配刀｜拆件,柳叶形单手弯刀,两宋,0960 / 1279,宋代；单手刀；柳叶形；微弧；刀鞘,宋代武人、甲士；黑甲岳飞原配可保留作一般武人配置，高级将领身份化展示仍优先佩剑＋剑鞘,单刃；狭长微弧；刀身渐收；尖锋；短柄；配独立刀鞘,同时代图像或绘画；兵书；史书或制度文献；学术研究,中,“柳叶形”为现代形制描述，不作宋代固定兵器名。
未标明品牌,大众量产品牌,多曲长刃枪,武器,W1325 武穆岳飞-金甲｜原配长枪｜拆件,长刃铁矛/枪,两宋,0960 / 1279,宋代；长刃；多曲；长枪；矛,宋代甲士、高级武将；可与宋式武将甲搭配,狭长刺锋；中脊明显；刃根多曲起刺；无独立刃盘；长柄,同时代图像或绘画；兵书；史书或制度文献；学术研究,中,不具太宁笔枪所需的刃下独立铁盘。
未标明品牌,大众量产品牌,半球形兜鍪＋深札片顿项,头盔,DY313｜铁浮屠｜头盔｜拆件,金代女真半球形铁兜鍪,金—女真/东北亚,1100 / 1250,金；女真；兜鍪；札片顿项；护面；重装骑兵,金代女真重装甲士/骑兵；与长札甲、长枪、弓箭搭配,半球形盔体；侧后深札片顿项；面颈防护,考古实物,中高,半球形盔体与深札片顿项的结构方向和12—13世纪女真重装甲士资料较协调，是该套装最值得独立保留的零件之一。
未标明品牌,大众量产品牌,长身札甲,甲身,DY313｜铁浮屠｜甲身｜拆件,金代女真长札甲,金—女真/东北亚,1100 / 1250,金；女真；札甲；披膊；长甲裙；重装骑兵,金代女真重装甲士/骑兵；配半球兜鍪、长枪、弓箭,札甲身甲；肩臂防护；长甲裙；重装防护,考古实物；同时代图像或绘画；学术研究,中高,札甲、披膊/肩臂与长甲裙整体协调，可作金代女真重装甲身；“铁浮图”不视为固定甲型。
未标明品牌,大众量产品牌,小型彩绘兽面圆盾,盾牌,DY313｜铁浮屠｜小圆盾｜拆件,小型圆盾,中国,0600 / 1800,骑兵；兽面纹；小圆盾；单手盾,骑兵单手持盾；可与刀剑、短兵等组合,小型圆盾；中央盾脐/凸饰意象；单手持盾,同时代图像或绘画；兵书；史书或制度文献；学术研究,中,小型圆盾自唐至清均有可比用例；兽面纹样不据此细分年代。
未标明品牌,大众量产品牌,具装马铠,马甲,M134｜甲马｜DY313铁浮屠配套,具装马铠,金—女真/东北亚,1100 / 1250,金；女真；具装马；马铠；重装骑兵,DY313女真重装骑兵；用于强化金代重骑兵完整陈列,马面防护；颈胸/躯干甲片防护；具装模块,同时代图像或绘画；史书或制度文献；学术研究,中,人马重装的兵种表现逻辑成立，但马面、龙纹、金饰与具体金属配色明显艺术化。
未标明品牌,大众量产品牌,厚重札甲身,甲身,装重铁浮屠｜原配甲身｜拆件,金代女真重装札甲,金—女真/东北亚,1100 / 1250,金；女真；札甲；厚甲；重装骑兵,金代女真精锐重装骑兵；优先换DY313式半球兜鍪，取消原大长盾,厚重札甲主体；肩臂防护；长下摆/甲裙,考古实物,中,“厚重”仅为模型视觉描述，不代表金代存在固定“厚甲型”分类。
未标明品牌,大众量产品牌,豹纹兽面细片甲身,甲身,S101/S102/S103｜宋朝量产组｜甲身｜拆件,宋代细片甲,两宋,1000 / 1200,宋代；细片甲；披膊；甲裙；高级甲士；札鳞未定,北宋—南宋甲士、弩兵、持盾兵；优先与较可信宋式兜鍪、弩、圆盾等重组,札/鳞片甲纹理；披膊/肩臂防护；长甲裙；胸腹兽面与装饰层次,墓葬俑像；同时代图像或绘画；兵书；学术研究,中,甲身、披膊和甲裙的基本模块方向成立，但兽面、豹纹、金饰等英雄化明显；具体甲型暂不细定。
未标明品牌,大众量产品牌,宽额札片顿项圆顶盔,头盔,S101｜宋朝量产组｜头盔｜拆件,宋代圆顶兜鍪,两宋,1000 / 1200,宋代；兜鍪；甲士,两宋甲士；与豹纹兽面细片甲身、圆盾或常规长兵搭配,金属兜鍪意象；侧后防护/顿项意象；顶部装饰,墓葬俑像；同时代图像或绘画；兵书；学术研究,中,整体具宋代兜鍪语言，但不足以对应《武经总要》某一具体器图；装饰按艺术化处理。
未标明品牌,大众量产品牌,兽面翼饰圆顶盔,头盔,S102｜宋朝量产组｜头盔｜拆件,宋代圆顶兜鍪,两宋,1000 / 1200,宋代；兜鍪；武将；甲士,两宋高级甲士/武将风味；与豹纹兽面细片甲身搭配,金属兜鍪意象；较强装饰性；顿项/护颈意象,墓葬俑像；同时代图像或绘画；兵书；学术研究,中,盔体历史方向可用，但装饰性较强；单独建档用于保留造型差分，具体宋代盔型暂不细定。
