卖家,卖家类型,套装名称,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,套装内容,适合表现,搭配/替换建议,甲胄结构/制作方式,复原依据类型,考据置信度,考据备注,参考价格（元）
未标明工作室,小工作室,蒙元高级武将,忽必烈,蒙古帝国晚期至北元初期蒙古札甲武将,蒙古帝国晚期至北元初期—东部内亚,1250 / 1400,蒙古；元；北元；高级武将；重装；札甲；高顶兜鍪；披膊；甲裙；高精度,高顶分片/铆合兜鍪、白色缨饰、侧后护片/顿项、细密札片甲身、多层披膊/肩臂防护、腰带、前后分体甲裙及附件,蒙古帝国晚期至元/北元初期高级武将、亲军将领；忽必烈题材,按完整套装优先保留，未确认可拆前不建立独立配件条目。若换武器，优先同工艺层级的复合弓＋箭箙、弯刀、长矛/槊等蒙古—元代武器。,高顶分片/铆合兜鍪；顶饰/缨座；侧后护片/顿项；细密札甲；多层披膊；分体肩臂防护；腰带；前后分体甲裙,考古实物；同时代图像或绘画；学术研究；现代综合复原,中高,甲盔适合蒙古帝国晚期—元/北元初期高级武将，以元代为核心；具体个人归属无直接依据，盔饰、白缨与金饰有艺术化。,
未标明工作室,小工作室,朵颜卫蒙古重装甲士,兀良哈朵颜卫,明初兀良哈蒙古札甲重装甲士,明初—兀良哈蒙古,1389 / 1500,明初；兀良哈；朵颜卫；蒙古；重装甲士；高顶兜鍪；面护；札甲；圆盾；弯刀；高精度,高耸圆锥形兜鍪、长缨/后垂顶饰、侧后甲片护颈、金属面护、细密札甲身甲、实体披膊/肩臂防护、腰带、前后甲裙、小型圆盾及弯曲单刃刀,明初兀良哈/朵颜卫蒙古重装甲士；元明之际蒙古系高级武人,完整套装优先保留，未确认可拆前不建立独立配件条目。原配圆盾与弯刀可留；若换武器，优先同工艺层级复合弓＋箭箙、长矛/槊或蒙古式刀剑。,高耸圆锥形兜鍪；后垂顶饰；侧后甲片护颈；金属面护；细密札甲；实体披膊；分体肩臂防护；腰带；前后甲裙；小型圆盾,考古实物；史书或制度文献；学术研究；现代综合复原,中高,朵颜卫始设于1389年；高顶兜鍪、札甲和面护具蒙古—内亚重装语言，胡须式面护、盾纹、顶饰等缺乏朵颜卫直接证据。,
未标明工作室,小工作室,三眼铳手,XP666｜三眼铳手,晚明三眼铳手,明—北方军镇,1530 / 1644,晚明；三眼铳；火器；北方边军,银色兜鍪、镶钉/布面甲风味甲身、三眼铳,晚明北方步骑火器手；辽东/关宁军火器兵,原套可留；武器与甲身均可拆作零件。若强调普通火器手，可减少将领化装饰,镶钉/布面甲意象；兜鍪,考古实物；兵书,中高,三眼铳件本身置信度高；整套甲胄属于晚明北方风味化组合，但时代与地域协调度较好。,
未标明工作室,小工作室,晚明刀骑兵,大明刀将领铁骑＋战旗,晚明着甲骑兵,明,1550 / 1644,晚明；骑兵；圆盾；短刀；着甲,兜鍪、甲身、彩绘兽面圆盾、短刀、战马、战旗,晚明着甲骑兵、骑将,原配短刀＋彩绘兽面圆盾较协调；可按题材换长枪或弓箭。盾面纹样可改涂,圆形盾体,兵书,中高,盾形与短刀概念有文献支持；具体兽面纹和甲胄细节艺术化。,
未标明工作室,小工作室,蓟镇重装甲士,蓟州军,晚明布面镶钉甲重装甲士,明—北方军镇,1560 / 1644,晚明；蓟镇；北方边军；布面甲；镶钉；长枪；重装步兵,尖顶明盔、深护耳/护项、布面镶钉甲、分体肩臂防护、长甲裙、长枪及装饰附件,隆庆—万历以来蓟镇/北方边军重装长枪甲士；精锐步兵,按高价完整套装保留，不拆甲盔。原长枪方向成立；若更换，只换同工艺层级、同时期更精细的长枪/腰刀等，避免廉价零件造成视觉精度断层。,尖顶硬质明盔；深布面护项；布面镶钉甲；分体披膊/臂甲；长甲裙,同时代图像或绘画；兵书；史书或制度文献,中高,不存在“蓟镇专属甲型”；尖顶明盔、深护项、布面镶钉重甲与长枪适合晚明北方边镇，约1570—1600尤具蓟镇辨识度。,
未标明工作室,小工作室,晚明着甲鸟铳手,明军伍长,晚明布面甲鸟铳手,明—北方军镇,1560 / 1644,晚明；鸟铳；基层军士；布面甲；镶钉；帽儿盔,多瓣帽儿盔方向兜鍪、布面镶钉长身甲、护肩/臂甲、护心镜/胸部附件、鸟铳及腰部附件,晚明北方着甲鸟铳手、基层军士/小队长；蓟镇等北方练军体系,完整套装优先保留。鸟铳可直接保留；若换件，只换同档次鸟铳、腰刀或同时期长兵。,多瓣帽儿盔方向；布面镶钉长身甲；分体肩臂防护；长甲裙,兵书；史书或制度文献,中高,着甲鸟铳手适合晚明北方军镇；组织身份与甲型分开记录，帽儿盔瓣数暂不细分。,
未标明工作室,小工作室,水师提督陈璘,水师提督陈璘,晚明高级将领重甲,明—东南,1570 / 1610,晚明；万历；援朝；高级将领；重甲,兜鍪、护颈、细片甲身、护心镜、肩臂防护、甲裙、兵器,陈璘；万历援朝高级将领,主体可保留；武器按水师/将领题材换腰刀、剑、弓或长兵。,细片札/鳞甲式甲身；单护心镜；肩臂与甲裙防护,同时代图像或绘画；现代综合复原,中高,无陈璘本人同年代甲胄实物或可靠肖像可证明具体装束；按晚明高级将领形象收录，不视为水师提督专属制式甲。,
未标明工作室,小工作室,辽东精锐骑射甲士,辽东铁骑,晚明精锐着甲骑射兵,明—北方军镇,1570 / 1620,晚明；万历；辽东；骑射；明甲；鱼鳞状；小甲片；弓箭；精锐骑兵,高顶尖盔、细片/鳞片式护项、外露细密金属甲身、肩臂防护、甲裙、弓、箭箙、腰间兵器及金瓜/锤状长兵器,万历—天启前后的辽东/北方精锐着甲骑射兵、边军骑兵,甲盔与弓箭具整体保留；金瓜可作次选，正式展示更推荐同档次晚明长枪/骑枪，或仅持弓并腰悬刀剑。,尖顶铁盔；细片/鳞片式护项；外露小甲片/鱼鳞状明甲；分体肩臂与甲裙防护,同时代图像或绘画；兵书；史书或制度文献,中高,“辽东铁骑”不是统一制式甲型；外露明甲与弓箭具适合晚明辽东精锐骑兵，并与库内布面甲路线形成差分。,
未标明工作室,小工作室,辽东指挥使,辽东指挥使,晚明布面镶钉甲高级军官,明—北方军镇,1570 / 1630,晚明；辽东；边军；布面甲；镶钉；高级军官,高顶兜鍪、护颈、蓝色镶钉甲、肩臂防护、护心镜、长甲裙、装饰附件,辽东镇高级军官、边将,原套主体保留；武器可配长枪、腰刀、弓箭或火器，按具体身份少量替换,布面/绸面镶钉甲意象；分体肩臂；长甲裙；高顶兜鍪,同时代图像或绘画；史书或制度文献；学术研究,中高,龙纹、金色臂甲与挂饰有明显高级将领化和商品化。,
未标明工作室,小工作室,万历皇帝·《出警图》戎装,万历皇帝,晚明鱼鳞叶明甲戎装,明—宫廷/京师,1580 / 1590,万历；明神宗；出警图；皇帝；鱼鳞叶明甲；长身大甲；宫廷戎装,华丽兜鍪及翼状/凤翘饰、红缨/羽饰、护项、鱼鳞状长身明甲、胸前双龙装饰、金色肩臂防护、甲裙、剑及弓箭附件,明神宗万历帝《出警图》戎装；万历前中期皇帝出行/大驾戎装,原套完整保留，不建议替换甲盔。兵器和弓箭附件应保持《出警图》宫廷戎装语境；如需调整，仅限同工艺层级的小型附件修正。,外露鱼鳞/细甲片式明甲；长身甲衣；华丽肩臂防护；盔后甲片护项；宫廷高级盔饰,考古实物；同时代图像或绘画；学术研究,高,与《出警图》中明神宗戎装高度对应，可作晚明高级明甲视觉基准；不是定陵出土铁甲复原，也不代表万历帝唯一甲式。,
未标明工作室,小工作室,掣电铳手,XP671｜掣电铳手,万历末掣电铳火器手,明,1598 / 1620,万历；掣电铳；新式火器；火绳枪,兜鍪、蓝色甲身、赵士桢式掣电铳风味火器,万历末特定新式火器手,原套可留作少量特色角色；不宜在普通明军中大量复制掣电铳,兜鍪；简化甲身,兵书；学术研究,中高,掣电铳属于万历末特定新式火器，商品有简化。,
未标明工作室,小工作室,关宁军甲士,明关宁军,晚明布面镶钉甲士,明—北方军镇,1620 / 1644,关宁军；辽东；晚明；三眼铳；布面甲；边军,两名甲士、高顶兜鍪、护颈/顿项、镶钉甲、肩臂防护、甲裙、三眼铳等武器,关宁军步骑甲士、辽东边军,甲胄主体保留；三眼铳可直接保留，另一人可按需要换长枪、腰刀、弓箭或鸟铳,布面/镶钉甲意象；高顶兜鍪；长甲裙,考古实物；史书或制度文献,中高,三眼铳与辽东/北方军镇题材相当合适；商品甲胄仍有统一化和装饰化处理。,
未标明工作室,小工作室,多尔衮·清初王公,多尔衮,清初王公镶钉甲,后金至清初—满洲/八旗,1630 / 1660,清初；多尔衮；正白旗；王公；镶钉甲；护心镜；高级八旗甲,华丽王公兜鍪及高顶缨饰、布面/绸面镶钉上衣与下裳、护肩/甲袖、护腋/遮缝结构、护心镜及高级装饰附件,多尔衮题材；皇太极末—顺治初高级满洲王公、旗主/高级将领,原套完整保留，不拆甲盔。白色用于多尔衮/正白旗题材；若改色用于泛清初王公，只作主题变化。换件仅限同档次附件/武器。,上衣下裳式镶钉甲；分体护肩/甲袖/护腋；圆护心镜；华丽铁盔及布面护耳/护颈,传世实物；史书或制度文献,中高,清初高级镶钉甲方向有实物依据；白色适合正白旗题材，但无多尔衮本人甲胄证据，亦不套用1756年后旗色制度。,
未标明工作室,小工作室,索伦甲士,索伦兵,清代八旗镶钉甲士,清—黑龙江/八旗,1700 / 1800,索伦；黑龙江；八旗；镶钉甲；骑射；风味保留,黑色镶钉甲、护颈、肩甲、护心镜、长甲裙、顶戴、兵器,索伦/黑龙江驻防八旗精锐甲士,甲身可保留；原配顶戴用于身份/非战斗展示；战斗造型配清式大型弓、箭箙和腰刀。,镶钉绵/布面甲意象；护颈；肩甲；长甲裙,考古实物；传世实物；学术研究,中,甲身方向可用，原配顶戴更适合身份/非战斗展示；“索伦”非单一甲型，按“中·风味保留”收录。,
未标明工作室,小工作室,清中期八旗中级贵族甲士,八旗旗主,清中期八旗中级贵族镶钉甲,清—八旗,1756 / 1800,八旗；镶钉甲；八色变体；中级贵族；高级旗员；仪仗；大阅；乾隆,华丽八旗盔、镶钉甲衣/甲裙、护肩护臂、护心镜及装饰附件；多旗色变体,乾隆中期八旗中级贵族/高级旗员、仪仗/大阅甲士,原套完整保留；八色按题材选择。,绸/布面镶钉甲意象；上衣下裳；高级装饰；分体护肩/护臂,考古实物；传世实物,中高,1756年后大阅甲有旗色/镶边区分；本套装饰层级更适合中级贵族/高级旗员，龙纹、黄色等高级符号仍需按等级理解。,
Cosmos Brick,精品量产品牌,唐太宗李世民,李世民,唐初两当披裹甲高级武将,唐,0620 / 0650,唐初；两当披裹甲；双圆护；明光甲争议；高级武将；孔雀羽；风味保留,华丽兜鍪/羽饰、双圆护甲身、肩臂防护、甲裙、披风/装饰附件,李世民题材；唐初高级武将,原套可保留作角色展示；若追求更严格历史感，可弱化夸张羽饰与披风，武器优先槊、刀剑,小甲片纹理甲身；成对圆护；披膊；甲裙；装饰性兜鍪,墓葬俑像；同时代图像或绘画,中,双圆护两当披裹甲可作唐初高级武将视觉；李世民本人装束、孔雀羽等缺乏直接证据。,
Cosmos Brick,精品量产品牌,归义军重装甲士,归义军,晚唐至五代两当披裹甲士,晚唐至五代—河西,0850 / 0950,晚唐；归义军；河西；敦煌；两当披裹甲；双圆护；重装甲士,分片兜鍪与札片顿项、双圆护两当披裹甲主体、披膊/肩臂防护、甲裙及原配长兵/刀剑类附件,张氏归义军重装甲士；晚唐河西高级军士；五代早期敦煌唐系甲士,按高价完整套装保留，不拆甲盔。甲盔主体原样保留；原配重型长刃可作唐代长刀风味，若追求更稳可换同工艺层级长枪，或弓箭＋刀剑。,分片兜鍪；札片顿项；双圆护；小甲片纹理甲体；独立披膊/肩臂防护；甲裙,同时代图像或绘画；学术研究；现代综合复原,中高,归义军身份可作为晚唐河西历史语境，但不存在可确认的“归义军专属制式甲”。商品甲盔与晚唐两当披裹甲路线协调。,
Cosmos Brick,精品量产品牌,铁浮图题材·高精度版,铁浮屠｜人＋具装马,金代女真札甲具装重骑,金—女真/东北亚,1100 / 1250,金；女真；铁浮图；重装骑兵；札甲；具装马；圆盾；弯刀；高精度,圆钵/分瓣式兜鍪、深札片顿项、细密札甲、披膊/肩臂防护、长甲裙、圆形骑盾、弯刀及原配兵器、完整具装马,12世纪金代女真精锐重装骑兵；宋人“铁浮图”题材,按高价完整套装保留，不拆人甲或马甲。圆盾与弯刀可直接保留；若换武器，只换同工艺层级的长枪/矛、弓箭或刀剑，不与廉价量产粗模混搭。,圆钵/分瓣铁盔意象；深札片顿项；细密札甲；实体披膊/臂甲；长甲裙；具装马马面、颈胸防护、躯干侧甲与后躯覆盖分区,考古实物；史书或制度文献；学术研究,中高,“铁浮图”不视为固定甲型；人马重装方向协调，盾纹、马面、羽饰与金饰不作金代制式依据。,800
移山工作室,精品量产品牌,魏晋重装甲士,三国魏兵｜男兵套甲＋头盔,魏晋两当甲士,魏晋,0250 / 0350,魏晋；两当甲；铁兜鍪；重装甲士,胸背分体两当甲身、甲裙、同组分片/鳞片式铁兜鍪与护耳；无固定武器,魏晋精良甲士；中高级步兵/护卫,甲盔可直接作为完整组合保留；武器优先环首刀/剑、长矛或戟，盾牌按具体身份另配。,胸背分体甲片面板；肩带联缀；腰束；甲裙；分片/鳞片式铁兜鍪与护耳,墓葬俑像；史书或制度文献；学术研究；现代综合复原,中高,两当甲身与魏晋兜鍪方向协调；具体甲片排列和盔体细节属现代综合复原，不作普通兵统一制式。,
迪库,大众量产品牌,蒙元骑射兵·量产版,36804｜蒙古兵；36803｜同模换色,蒙古帝国至北元初期着甲骑射兵,蒙古帝国至北元初期—东部内亚,1200 / 1400,蒙古；元；北元；骑射；着甲骑兵；复合弓；弯刀；圆盾；低成本,分瓣铁盔、片状护耳/顿项、实体肩甲、印刷甲身、复合弓、箭支/肩背式箭箙组件、弯刀、圆盾,蒙古帝国至元/北元初期一般着甲骑射兵,原套可作为低成本骑射兵基底保留；优先保留头盔与复合弓。以后若有更好的蒙古札甲身，可迁移头盔和弓箭具。,分瓣铁盔；片状侧后防护；实体肩甲,考古实物；史书或制度文献；学术研究,中高,甲身较简化，但头盔、弓箭具与弯刀方向协调；背装箭箙属积木妥协，历史携行按腰悬理解。,9.02
科睿,大众量产品牌,右骁卫甲士,XP715｜右骁卫,唐两当披裹甲士,唐,0620 / 0750,唐；右骁卫；十六卫；宿卫；两当披裹甲；小甲片；长枪；长刀,分片式兜鍪、小甲片纹理甲身、披膊、肩臂防护、甲裙、细长叶形长枪/矛类长兵、超长直刀,初唐—盛唐前期右骁卫/南衙宿卫甲士；一般唐代宿卫重装甲士,主体可留；长枪保留，可搭配大盾。,分片式兜鍪；小甲片纹理甲身；披膊；肩臂防护；长甲裙,史书或制度文献,中高,右骁卫属唐十六卫并参与宫禁宿卫；甲盔归入唐代两当披裹甲路线，原配长兵按长枪/矛类处理。,
科睿,大众量产品牌,旅贲军甲士,XP713｜旅贲军,唐两当披裹甲士,唐,0650 / 0800,唐；旅贲；宿卫；两当披裹甲；小甲片；横刀；盾牌,分片式兜鍪、小甲片纹理甲身、披膊、肩臂防护、甲裙、横刀、六边形盾,东宫旅贲/宿卫甲士；普通唐代持盾甲士,原套可留；横刀和盾优先保留，按具体题材少量替换。,分片式兜鍪；小甲片纹理甲身；披膊；肩臂防护；长甲裙,同时代图像或绘画；史书或制度文献；学术研究,中高,“外府旅贲番上者”确见于唐制，但现有证据不能证明旅贲有商品所示专属甲胄。作为唐代持盾宿卫甲士整体协调度较好。,
科睿,大众量产品牌,神武军甲士,XP714｜神武军,中晚唐两当披裹甲士,唐—长安,0757 / 0900,唐；神武军；北衙禁军；两当披裹甲；小甲片；丩字戟；弓,分片式兜鍪、小甲片纹理甲身、披膊、肩臂防护、甲裙、丩字戟、弓,中晚唐神武军宿卫/甲士；一般唐代禁军甲士,丩字戟与弓均可保留；粗大的羽饰若影响观感可缩短或替换。,分片式兜鍪；小甲片纹理甲身；披膊；肩臂防护；长甲裙,史书或制度文献；学术研究,中高,至德二载（757）复置左右神武军，属北衙禁军体系；套装时代与装备方向协调，金属色/涂装不视为神武军专属甲色。,
未标明品牌,大众量产品牌,龙武军甲士·量产版,大唐龙武军｜原色丩字戟版；银色长枪版,唐直身甲士,唐—长安,0618 / 0907,唐；龙武军；北衙禁军；直身甲；双圆护；高护颈；丩字戟；长枪,分片兜鍪、双圆护高护颈直身甲、披膊；原色丩字戟或银色长枪,唐代重装甲士；739年后龙武军/北衙禁军题材,优先保留原色丩字戟版与银色长枪版，狼牙棒版不保留。若追求更高精度，可直接采用同题材白膜上色成品。,分片兜鍪；成对圆护；胸腰裙连续长身甲体；高护颈；大型弧形披膊,墓葬俑像；同时代图像或绘画；史书或制度文献；学术研究,中高,主体轮廓符合唐直身甲；头盔、披膊、腰带和甲片细节高度简化，可用于龙武军/北衙禁军题材。,12.12
未标明品牌,大众量产品牌,唐陇右甲士,唐陇右军｜头盔长矛版,盛唐两当披裹甲士,唐—陇右/西北,0714 / 0763,唐；陇右；边军；两当披裹甲；小甲片；长枪；西北,头盔版兜鍪、小甲片纹理甲身、披膊/臂甲、甲裙、柳叶中脊长枪,盛唐陇右边军、河陇军镇重装甲士,优先保留头盔＋柳叶中脊长枪组合；刀盾与弩件因比例/细节偏粗，不建议与本套混用；头巾版本仅作替代造型。,分片兜鍪；小甲片纹理甲身；独立披膊/肩臂防护；长甲裙,墓葬俑像；同时代图像或绘画；史书或制度文献；学术研究,中高,陇右节度与军镇题材成立，但不存在可据此确认的“陇右专属甲型”。,9.96
未标明品牌,大众量产品牌,宋代重装弩手,S103｜宋朝量产组｜弩手款,宋代细片甲重装弩兵,两宋,1000 / 1200,宋代；弩兵；重装步兵；细片甲；札鳞未定；风味保留,S103款兜鍪、同组细片甲身、披膊/甲裙、军用弩、原配大型盾,北宋—南宋重装弩兵/甲士,甲盔与军用弩组成重装弩手方案；近身可配腰刀。,细片甲纹理甲身；披膊/肩臂防护；甲裙；兜鍪顿项意象,墓葬俑像；同时代图像或绘画；兵书；学术研究,中,甲盔具宋代装备语言，但兽面、豹纹、金饰英雄化；量产甲型较概括。,
未标明品牌,大众量产品牌,武穆岳飞·凤翅盔版,W1323/4/5 武穆岳飞-黑/银/金甲,宋代凤翅式兜鍪＋细片札甲武将,两宋,1100 / 1200,宋代；南宋；凤翅式兜鍪；武将；札甲；细片札甲；岳飞,同模凤翅式兜鍪、武将甲、披膊/肩臂防护、甲裙；W1323黑甲原配柳叶形单手弯刀＋刀鞘，W1324银甲配鸦项枪，W1325金甲配多曲长刃枪,南宋初期高级武将；岳飞主题人仔,黑甲作代表色；高级将领展示可将原配弯刀换为佩剑。银甲鸦项枪、金甲多曲长刃枪可保留。,细片札甲甲身；披膊/肩臂防护；长甲裙；凤翅式兜鍪,墓葬俑像；同时代图像或绘画；兵书,中高,凤翅式兜鍪具有较强宋代视觉依据，甲身为细片札甲结构；兽面、凤翅和金饰明显英雄化。,
未标明品牌,大众量产品牌,铁浮图题材·量产版,DY313｜铁浮屠＋M134甲马,金代女真札甲具装重骑,金—女真/东北亚,1100 / 1250,金；女真；铁浮图；重装骑兵；札甲；具装马；圆盾；长枪,半球形兜鍪、深札片顿项、长札甲、披膊/肩臂防护、甲裙、小型圆盾、长枪、配套M134具装马,12世纪金代女真精锐重装骑兵；宋人“铁浮图”题材,人物与M134甲马可原样作为完整陈列方案保留；弓箭可作为补充。小圆盾可留，不必再叠加巨锤等多余武器。,半球形铁盔意象；札片护面/顿项；札甲身甲；肩臂防护；长甲裙；具装马,考古实物；史书或制度文献；学术研究,中高,盔体、深札片顿项和完整札甲与12—13世纪女真重装甲士方向协调；但马面、纹饰与金属配色较艺术化。,
