字段/规则,说明
唐—五代—宋辽夏金,两当披裹、直身甲等整体结构与札/鳞等甲片组织应分层判断，可同代并存；不以单一“唐甲/宋甲”模板判断。宋、辽、西夏、金须作为同一时间层的不同文化路线分别核对。
元—明—清,锁甲、布面铁甲/镶钉体系、罩甲等路线增多，并与札甲、鳞甲并存。明代不能简单等同“布面甲”；清初与晚明有技术连续性，清中后期再结合八旗、大阅与身份判断。
其他文化路线,三篇导航主要服务中国甲胄史初筛；吐蕃/藏地、蒙古/内亚、朝鲜、日本等须另查本文化A/B级材料。可比较技术交流，但不为统一术语强套中国内地甲胄分类。
甲胄史导航（上）,https://www.gcores.com/articles/163234
甲胄史导航（中）,https://www.gcores.com/articles/163650
甲胄史导航（下）,https://www.gcores.com/articles/164042
四、武器术语规范,
武器形制判定,先按器首、装柄方式和工作部判断；商品名、人物名和兵种身份不得替代形制判断。具体术语边界见下列规则。
武器术语边界,刀剑按单双刃、直曲、锋形、刃宽、格/镡、柄长与柄首判断；“横刀、手刀、腰刀、长刀”等不默认对应单一形制，现代形制名须有可见结构支持，环首也不等于“环首刀”。长柄刀另看刃形、曲率、刃宽与装柄，不强定陌刀、斩马刀等兵名。
矛—枪—槊,枪、矛、槊/矟在不同时代名称有重叠，槊/矟常见长矛义但非稳定单一形制；不得仅凭器首、杆长或骑兵用途强定槊。鸦项、锥枪、笔枪等兵书名须有关键结构对应；笔枪须见刃下独立有刃铁盘/刃挡。
铍—铩—剑,铍以剑形双刃长锋装长柲为基本结构，战国秦汉兼见铤装、銎装；剑为手持柄制，不接长柲。独立镡可支持铩判断，但不能单独定型；须结合整体长锋、装柄与A/B级证据。古籍对铩另有长刃矛等解释，证据不足时不细分。
戟—斧钺—钺戟,先秦狭义戟以戈、矛联装或合体为核心，横枝属戈援系统；斧、钺属横向劈斫体系。卜字、丩字可作现代形态描述；“钺戟”按现代考古形制定名，用于钺/斧形横刃＋独立纵刺锋的复合器首。
其他复合/击兵,叉以多股叉首为核心；镋以独立正锋＋左右横股为核心；锏为无刃多棱刚性击兵；锤以质量集中于独立锤首为特征；流星锤为锤首＋柔性绳/链。棒、钩、抓、拐等宽泛名称须结合时代和结构继续下分。
同类武器形制差分,同属枪矛类时，只要器首轮廓、脊线、肩部、銎/铤等结构差异明显，且A/B级证据支持同代存在多种形制，即可分别建档；不因名称相同强行合并，也不凭外观差异硬套文献制度名。
盾牌,盾牌默认用现代结构名。古籍“彭排、旁牌、膝排、团排”等只有在现代研究形成稳定类型且模型关键结构对应时才进入历史类型，否则放备注。钩镶、藤牌等成熟专名可直接用；纹样与色彩无直接依据时不作制式判断。
五、已确认专题结论,
八旗甲,清代八旗甲区分普通兵丁镶钉绵甲、较高级/大阅风味甲与皇帝级大阅甲。历史实物常为上衣、下裳、护肩/护腋等分体结构；积木一体化只属可玩性限制。八旗换色不等于“八个旗主各有对应颜色制服”。
明代火器,三眼铳、鸟铳、掣电铳分别建档。掣电铳按万历末赵士桢研制并进呈的特定新式火器处理，不自动视为广泛列装；球形投掷火器只作表现件，不建立近代欧洲式“掷弹兵”概念。
六、工作簿维护,
表格格式,前三表使用 Excel Table（TableStyleMedium2），仅覆盖实际数据行；置信度条件格式只作用于真实置信度列：高/中高绿，中/中低黄，低红。空白区不大面积填色；字段、合并范围和实体数据以当前工作簿为准，版本号只按用户要求调整。
当前批次,配件索引72条；套装索引40条；快速搭配48条。新增金代女真毛缘铁盔（中）；新增金代女真重装甲士套装（中高）；现有金代女真重装骑兵快速搭配增加高精度完整套装方案；完颜宗弼战马不收录。
